#{"t_start": 1724199110.352761, "env_id": "None"}
r,l,t
-1.256452,72,24.362119
-1.413273,72,40.781453
-1.29548,72,59.491565
-1.22589,72,76.680234
-1.828027,72,95.754804
-1.585378,72,112.05166
-1.964351,72,129.88944
-1.217806,72,150.578023
-1.170278,72,169.463465
-1.052818,72,188.265757
-1.52408,72,204.645437
-1.769633,72,222.860769
-1.615498,72,238.758294
-1.203705,72,255.700412
-0.841075,72,275.913134
-0.995917,72,294.967637
-0.954451,72,314.266471
-1.68196,72,331.12118
-1.094744,72,346.940669
-0.968642,72,367.407906
-0.965644,72,384.083056
-0.859765,72,401.045381
-1.099315,72,415.850876
-1.507718,72,433.71097
-1.2105,72,454.578565
-1.337919,72,472.152763
-1.312453,72,487.937483
-1.275384,72,505.359551
-0.849844,72,528.557345
-0.955799,72,544.081508
-0.944045,72,563.242308
-1.019541,72,578.066799
-0.980106,72,597.688473
-0.974877,72,613.267953
-1.066798,72,630.459469
-0.88872,72,650.422732
-1.0677,72,663.873367
-1.188826,72,680.367098
-1.126981,72,694.79534
-1.04273,72,706.919707
-1.433065,72,719.079039
-0.88051,72,733.850086
-0.950039,72,750.10746
-0.957787,72,766.811979
-0.793995,72,778.740025
-0.899448,72,794.392476
-0.949,72,806.762228
-1.035827,72,819.630321
-0.888256,72,840.418908
-1.384689,72,855.052162
-1.315767,72,869.979468
-0.940745,72,883.248358
-1.129133,72,894.740155
-0.785496,72,911.393084
-0.957581,72,923.074801
-1.439169,72,936.72931
-0.805739,72,951.512018
-1.335248,72,964.360574
-1.08944,72,977.160259
-0.957294,72,992.949893
-0.844051,72,1005.779661
-0.879896,72,1020.986485
-1.192764,72,1033.41011
-0.860645,72,1049.202405
-0.75333,72,1063.739542
-0.885219,72,1077.000313
-0.994699,72,1088.848782
-0.922194,72,1104.580131
-1.262622,72,1117.915455
-1.25623,72,1130.67106
-1.143624,72,1145.87428
-0.845514,72,1162.010855
-1.545012,72,1174.282034
-0.921329,72,1188.001036
-1.020691,72,1206.160562
-0.809586,72,1219.097322
-1.196032,72,1232.616682
-0.849846,72,1247.50903
-0.756698,72,1262.151433
-0.932725,72,1277.025533
-0.968827,72,1291.219138
-0.915455,72,1306.613318
-1.542305,72,1319.865603
-0.854344,72,1335.810484
-1.185874,72,1349.40635
-1.132382,72,1364.56673
-0.88497,72,1377.589374
-1.342066,72,1391.77529
-1.212502,72,1405.107722
-0.83029,72,1420.599569
-0.793547,72,1435.511723
-1.724528,72,1448.890002
-0.907261,72,1465.144865
-1.711505,72,1481.584512
-0.785865,72,1495.645404
-1.10341,72,1508.885854
-0.942918,72,1523.507553
-0.972604,72,1539.985575
-0.866687,72,1554.280738
-0.856144,72,1571.248492
-0.928492,72,1584.732532
-1.147702,72,1598.765089
-0.821104,72,1613.727489
-1.075384,72,1631.339473
-0.992901,72,1649.211102
-0.907183,72,1665.763811
-1.056501,72,1682.955479
-0.729199,72,1700.89935
-1.431655,72,1716.854017
-0.959869,72,1732.35244
-0.880759,72,1747.87703
-2.140856,72,1764.443292
-1.09179,72,1780.378405
-1.23208,72,1798.684043
-0.913498,72,1814.944786
-1.358966,72,1832.069591
-1.31035,72,1846.588695
-1.001373,72,1863.277435
-0.8738,72,1880.776367
-1.229125,72,1897.371735
-0.847031,72,1913.79327
-1.088016,72,1931.267773
-0.923909,72,1946.315564
-1.990127,72,1960.791193
-0.812343,72,1976.041635
-0.91765,72,1994.029796
-0.83114,72,2007.901978
-0.785953,72,2021.761455
-1.565235,72,2038.967259
-1.034249,72,2056.571854
-1.167202,72,2072.461608
-1.05605,72,2087.831716
-1.261594,72,2104.93572
-0.859138,72,2121.0179
-0.892442,72,2136.644874
-0.682499,72,2151.771134
-0.721122,72,2170.187745
-0.921458,72,2185.204645
-1.391249,72,2199.993199
-1.324932,72,2217.873247
-0.902013,72,2231.914354
-1.274081,72,2247.048105
-0.868918,72,2264.647042
-1.182462,72,2279.558092
-0.854486,72,2296.511032
-0.826036,72,2315.146173
-1.061193,72,2331.306937
-0.864444,72,2349.420645
-0.945803,72,2366.390427
-0.924859,72,2383.092731
-1.768223,72,2399.853323
-0.908142,72,2414.97353
-0.918544,72,2430.366781
-1.094023,72,2444.39222
-1.054033,72,2460.066086
-1.086311,72,2478.913038
-1.05517,72,2495.737739
-0.872235,72,2511.406181
-0.996021,72,2526.834831
-1.533292,72,2541.636372
-1.187914,72,2558.735226
-0.819486,72,2573.218403
-1.378749,72,2589.398816
-0.903203,72,2607.536945
-0.827748,72,2622.867079
-1.131491,72,2641.168537
-0.690772,72,2655.353798
-0.844167,72,2671.617613
-0.757949,72,2690.464357
-1.033877,72,2705.977051
-1.262473,72,2719.651769
-0.775938,72,2733.786642
-0.77936,72,2748.991368
-1.600776,72,2764.420816
-1.065091,72,2782.669494
-1.555537,72,2797.150846
-0.832769,72,2814.282325
-1.075517,72,2831.573142
-0.817212,72,2849.630012
-0.867958,72,2863.710816
-1.003992,72,2880.020018
-0.761931,72,2898.784489
-0.902958,72,2913.510941
-0.996943,72,2927.53659
-1.053472,72,2944.004401
-0.931977,72,2960.947835
-0.922071,72,2978.49776
-1.076574,72,2996.373476
-1.031191,72,3013.048652
-0.88401,72,3028.522878
-1.026834,72,3042.876054
-1.061573,72,3057.808201
-0.899567,72,3075.469781
-1.265417,72,3092.93358
-1.23608,72,3107.704227
-0.890421,72,3121.828763
-1.300466,72,3139.46398
-0.793771,72,3156.019884
-1.0766,72,3171.926423
-0.894475,72,3190.285335
-1.46167,72,3204.776714
-0.689975,72,3219.813647
-1.300811,72,3236.183319
-0.859516,72,3254.04321
-0.89096,72,3270.111108
-1.120899,72,3283.690731
-1.044122,72,3299.217201
-0.873078,72,3315.765663
-1.031476,72,3333.891193
-0.745301,72,3349.901107
-1.18281,72,3367.904552
-0.881153,72,3384.693846
-1.160061,72,3401.844881
-0.797425,72,3419.227251
-1.403301,72,3434.482452
-0.847012,72,3451.27584
-1.120404,72,3468.108033
-1.439825,72,3484.573942
-0.843049,72,3499.64071
-0.924948,72,3516.671669
-1.404587,72,3531.823568
-1.90245,72,3547.42275
-1.136241,72,3562.848017
-0.773981,72,3578.573223
-0.783297,72,3592.91491
-1.369606,72,3609.630958
-1.137688,72,3626.901006
-0.909317,72,3644.418658
-0.92492,72,3660.978791
-0.849547,72,3679.206226
-0.900301,72,3695.086402
-0.824024,72,3712.399698
-1.287638,72,3727.51634
-0.873555,72,3744.774737
-1.369074,72,3761.617895
-0.946489,72,3778.863277
-0.777436,72,3794.383452
-1.056349,72,3812.725408
-1.080818,72,3829.80046
-0.92487,72,3846.797559
-1.053798,72,3860.305727
-0.869287,72,3877.651497
-1.038226,72,3892.684879
-1.440693,72,3907.364192
-1.034642,72,3924.666248
-1.106171,72,3942.124783
-1.001378,72,3958.921742
-1.073814,72,3972.705444
-0.873335,72,3986.912951
-1.146531,72,4002.481115
-1.112708,72,4016.361259
-0.727465,72,4030.239276
-0.78329,72,4047.607134
-0.951683,72,4064.396181
-0.769518,72,4082.212522
-0.862732,72,4100.299945
-1.213241,72,4117.204916
-1.050658,72,4134.967772
-1.000399,72,4153.623074
-0.880582,72,4171.73226
-1.223332,72,4189.528781
-0.816313,72,4205.457381
-0.811743,72,4220.77544
-0.892439,72,4236.636516
-0.857544,72,4256.22594
-1.041736,72,4274.662434
-1.181156,72,4293.128646
-1.132221,72,4311.243941
-1.016344,72,4327.862619
-1.142348,72,4344.088181
-1.039556,72,4362.290675
-0.880458,72,4377.265543
-0.994023,72,4393.615537
-0.953052,72,4411.498973
-0.866276,72,4427.543306
-1.114832,72,4442.834569
-0.743068,72,4460.602186
-0.958638,72,4477.467016
-1.655494,72,4493.620531
-0.751704,72,4509.484923
-0.850791,72,4527.738887
-0.759325,72,4544.804209
-0.804141,72,4560.382674
-1.01647,72,4574.737336
-0.871496,72,4591.56237
-0.924832,72,4609.771217
-0.800225,72,4629.438194
-0.760484,72,4645.074317
-1.148209,72,4662.6951
-1.166115,72,4677.823542
-0.880629,72,4695.603271
-1.372842,72,4713.472985
-1.380522,72,4731.502439
-0.760777,72,4748.880155
-1.324171,72,4767.306038
-1.065687,72,4785.7444
-0.905286,72,4801.315702
-0.833097,72,4816.450133
-0.941562,72,4830.888936
-0.991074,72,4849.551665
-0.839355,72,4866.420739
-1.082167,72,4883.794563
-0.876293,72,4902.43282
-1.23645,72,4919.587509
-1.0571,72,4936.450283
-0.725701,72,4950.44321
-0.989506,72,4966.746184
-0.73239,72,4983.020889
-0.867536,72,5000.71305
-0.982093,72,5019.429999
-1.058306,72,5037.560541
-0.852041,72,5052.96821
-0.757344,72,5068.828309
-0.754686,72,5083.555366
-0.757332,72,5102.149287
-1.013194,72,5117.934315
-0.872245,72,5131.543698
-1.088771,72,5147.781565
-1.543813,72,5164.219633
-0.990706,72,5179.556594
-0.950667,72,5197.26404
-1.084344,72,5216.131374
-0.880863,72,5231.993463
-1.530908,72,5247.615861
-0.870827,72,5264.3307
-0.828191,72,5279.309459
-0.872061,72,5296.281998
-0.927666,72,5312.470713
-1.35261,72,5330.764645
-1.263209,72,5345.385217
-1.00502,72,5362.075174
-1.367181,72,5378.150177
-1.221574,72,5396.685451
-0.679943,72,5415.136416
-0.871076,72,5433.877941
-1.230741,72,5449.067212
-0.955475,72,5463.723748
-1.023194,72,5480.501822
-0.874954,72,5498.30532
-1.047108,72,5516.474376
-1.205348,72,5534.1834
-0.963779,72,5549.535263
-0.662273,72,5567.541692
-1.216776,72,5585.349077
-0.78508,72,5602.62804
-0.930813,72,5620.711914
-1.475238,72,5636.901395
-1.51703,72,5654.170079
-0.893239,72,5670.114701
-1.009607,72,5685.754386
-1.068786,72,5702.925594
-0.937117,72,5720.708349
-0.913547,72,5738.109669
-0.94433,72,5757.00962
-0.75861,72,5773.979337
-1.399997,72,5789.956442
-0.933185,72,5805.792804
-0.813529,72,5821.172159
-1.205632,72,5839.206211
-0.851162,72,5858.056393
-0.994,72,5876.746719
-0.886661,72,5893.67792
-0.83045,72,5907.376898
-1.555956,72,5925.802893
-1.178737,72,5942.839162
-0.941334,72,5958.511567
-0.837512,72,5974.716598
-0.935936,72,5990.70828
-1.231415,72,6006.413872
-1.211461,72,6022.18545
-0.824449,72,6039.142349
-0.960524,72,6054.266902
-0.760372,72,6073.478538
-1.536633,72,6088.76077
-0.803321,72,6104.702707
-0.89656,72,6123.584814
-1.646085,72,6138.861694
-0.874068,72,6154.707321
-1.186935,72,6168.800128
-0.740642,72,6183.975888
-1.476343,72,6201.541741
-0.883918,72,6219.535429
-0.830773,72,6235.224466
-0.836481,72,6253.173001
-0.979741,72,6267.841524
-0.810554,72,6283.947476
-1.018607,72,6302.889341
-0.890861,72,6318.367123
-0.765079,72,6335.340549
-1.313984,72,6352.136532
-1.142476,72,6367.421069
-1.129488,72,6385.07412
-1.471031,72,6403.243714
-0.872929,72,6419.913345
-0.950725,72,6434.777418
-1.45333,72,6450.411475
-0.853442,72,6466.674546
-0.802707,72,6482.067881
-0.879711,72,6501.123661
-0.91904,72,6518.108556
-0.838959,72,6535.481197
-0.880067,72,6549.41705
-0.833294,72,6566.292838
-0.692661,72,6583.689137
-1.395254,72,6602.345921
-1.359508,72,6619.187058
-0.847614,72,6637.317036
-0.827545,72,6655.959971
-0.949742,72,6674.121547
-0.912718,72,6692.327652
-1.858144,72,6707.148784
-0.85258,72,6725.96133
-0.768169,72,6741.434719
-0.936122,72,6759.15775
-0.751118,72,6777.912627
-1.033489,72,6795.994846
-1.033197,72,6814.157707
-0.7639,72,6832.878742
-0.865414,72,6851.743082
-1.613038,72,6867.005144
-0.965277,72,6883.017868
-0.750428,72,6898.415624
-1.125719,72,6916.589509
-0.777624,72,6934.795009
-1.064661,72,6951.972297
-0.874352,72,6968.254525
-0.727942,72,6988.097322
-0.919481,72,7006.468847
-1.236032,72,7022.106887
-1.003607,72,7039.723541
-1.199502,72,7055.455681
-1.203584,72,7073.574134
-1.419664,72,7089.059436
-0.862862,72,7105.563064
-1.401246,72,7122.458367
-1.129867,72,7141.271321
-1.580514,72,7157.769839
-1.419626,72,7174.747413
-0.8853,72,7192.069301
-0.788076,72,7207.422574
-1.276135,72,7226.009439
-1.111112,72,7243.108974
-1.306426,72,7260.370138
-1.024301,72,7277.249563
-0.905322,72,7296.031378
-0.886862,72,7315.040297
-0.851296,72,7332.61202
-0.864174,72,7350.998172
-0.731914,72,7367.427041
-0.940064,72,7386.57863
-1.413223,72,7404.205214
-0.703984,72,7424.154358
-0.875796,72,7440.99199
-0.813509,72,7460.778025
-0.863981,72,7479.904412
-1.04053,72,7498.217967
-0.905874,72,7513.891792
-0.797708,72,7533.300956
-0.991163,72,7548.688916
-1.611631,72,7566.516987
-0.815565,72,7585.682131
-0.989524,72,7601.828541
-0.789375,72,7619.231819
-1.404763,72,7634.567458
-0.871135,72,7652.619422
-1.217819,72,7669.059196
-1.023608,72,7685.871864
-0.833717,72,7704.821393
-0.78099,72,7720.513378
-0.828345,72,7740.188585
-1.154657,72,7758.634589
-0.756784,72,7775.505902
-1.45822,72,7791.019278
-0.897168,72,7807.426394
-1.078401,72,7824.414431
-0.733596,72,7839.043509
-0.877548,72,7853.566075
-0.853566,72,7872.988952
-0.893359,72,7892.280896
-1.271731,72,7909.382733
-1.063962,72,7925.883244
-1.10898,72,7944.94776
-1.522395,72,7961.480587
-1.233006,72,7979.69312
-0.840756,72,7998.942343
-0.838854,72,8015.295071
-1.645064,72,8030.722388
-0.940857,72,8047.15339
-0.974721,72,8065.123156
-0.920298,72,8080.187364
-1.026021,72,8095.495548
-0.754792,72,8113.993914
-1.104835,72,8130.36418
-0.877149,72,8146.279917
-0.949084,72,8163.368956
-1.17386,72,8181.284786
-1.125328,72,8199.825495
-1.358804,72,8218.572063
-0.954575,72,8237.579347
-1.034528,72,8255.839759
-1.260172,72,8273.130327
-0.915826,72,8292.414602
-0.759534,72,8309.964343
-1.015697,72,8324.180282
-0.754881,72,8343.848928
-1.344306,72,8361.833961
-1.294873,72,8379.716955
-1.152348,72,8395.987182
-1.221405,72,8415.565862
-0.734971,72,8432.492764
-0.797424,72,8452.596202
-1.067693,72,8471.285674
-1.90785,72,8488.369834
-0.841584,72,8505.120643
-0.986946,72,8524.451723
-0.857798,72,8543.044786
-1.417196,72,8558.466555
-1.118565,72,8577.635408
-1.31204,72,8594.255337
-0.868964,72,8609.940443
-0.98702,72,8627.181761
-0.889302,72,8645.760874
-1.004101,72,8661.853645
-1.013766,72,8681.061477
-0.843125,72,8698.825861
-0.777129,72,8717.663915
-0.826504,72,8736.30098
-1.379996,72,8754.326175
-0.822886,72,8771.2906
-0.874044,72,8786.497307
-0.947828,72,8803.202816
-1.998914,72,8819.152236
-0.841781,72,8839.737484
-0.975223,72,8857.552017
-0.905648,72,8873.004385
-1.525842,72,8888.700033
-0.919827,72,8907.070799
-0.908745,72,8925.660228
-1.067395,72,8942.334667
-0.790045,72,8962.526414
-1.216543,72,8978.32588
-0.799282,72,8996.188241
-0.963197,72,9010.66471
-1.013004,72,9030.133977
-1.352996,72,9045.203718
-1.07635,72,9062.874532
-0.831978,72,9082.684277
-1.140481,72,9098.758207
-1.097626,72,9115.96696
-0.784999,72,9132.48543
-1.138553,72,9149.708883
-0.873934,72,9168.108251
-1.061448,72,9184.07355
-0.962847,72,9200.977775
-1.282965,72,9216.095484
-0.88595,72,9234.711427
-0.843139,72,9251.949412
-0.830569,72,9268.151079
-0.878154,72,9282.706011
-0.829875,72,9301.077091
-0.991667,72,9317.738406
-0.88933,72,9335.262374
-0.728005,72,9350.997752
-1.133133,72,9364.89059
-0.971884,72,9383.169986
-1.501345,72,9400.958457
-0.873903,72,9417.688694
-1.053641,72,9436.029507
-0.81619,72,9454.962447
-0.98781,72,9473.070523
-0.899141,72,9490.930408
-0.965607,72,9505.886326
-0.867258,72,9522.391558
-1.141991,72,9540.182688
-0.856444,72,9555.950682
-1.059978,72,9572.410368
-0.769666,72,9588.029296
-0.925333,72,9607.136451
-0.930272,72,9625.882703
-0.731426,72,9641.177656
-1.583472,72,9657.669262
-0.804983,72,9674.391471
-1.165152,72,9693.322743
-0.847571,72,9711.072044
-1.275086,72,9730.409479
-1.020366,72,9747.976596
-0.877158,72,9767.612675
-0.933802,72,9781.863863
-1.093972,72,9796.785701
-1.255221,72,9813.492789
-1.470908,72,9828.50609
-0.872636,72,9847.946594
-0.947126,72,9866.543118
-1.502551,72,9885.098369
-0.904056,72,9901.578254
-0.987657,72,9916.3046
-0.813936,72,9932.327444
-1.002852,72,9950.725899
-0.765979,72,9967.818693
-0.94243,72,9986.90836
-0.717863,72,10005.508764
-0.991102,72,10022.987085
-1.143495,72,10039.498888
-1.144079,72,10054.41254
-0.73821,72,10071.631564
-0.727774,72,10090.427949
-0.882138,72,10105.758106
-1.066693,72,10121.949859
-0.986958,72,10140.428692
-1.004494,72,10158.970308
-1.377172,72,10174.675637
-1.210125,72,10192.623245
-0.838739,72,10208.829781
-1.045726,72,10225.953847
-1.193285,72,10242.161069
-1.079123,72,10261.387897
-1.020884,72,10281.648042
-0.807646,72,10296.066017
-0.810798,72,10310.689403
-0.828477,72,10330.505515
-1.207116,72,10347.301043
-0.805665,72,10365.3621
-0.865113,72,10383.67228
-1.476555,72,10400.010365
-0.982589,72,10419.23953
-1.538447,72,10437.309098
-0.745032,72,10456.063888
-0.873872,72,10472.772821
-0.933972,72,10490.731286
-0.886714,72,10510.253294
-1.505239,72,10528.016706
-0.83299,72,10543.308313
-0.848486,72,10558.812167
-1.124428,72,10577.034536
-0.933456,72,10593.082126
-0.982268,72,10611.04728
-0.872999,72,10627.488678
-0.854144,72,10643.915712
-0.922218,72,10663.234804
-0.851162,72,10678.627578
-0.864771,72,10697.299538
-0.859074,72,10714.781499
-0.896334,72,10735.272277
-0.752999,72,10752.989126
-0.833352,72,10772.080937
-0.978067,72,10793.162435
-1.06516,72,10810.742715
-0.993058,72,10825.611205
-0.748871,72,10845.867425
-1.132121,72,10862.591538
-0.973548,72,10881.130476
-1.493156,72,10898.325734
-1.59769,72,10915.177733
-1.208582,72,10933.098383
-0.860832,72,10951.034513
-0.790374,72,10966.213245
-1.259169,72,10986.424561
-0.99211,72,11004.732982
-1.077598,72,11023.818385
-0.837858,72,11041.013258
-0.913017,72,11058.102967
-0.951164,72,11075.407808
-1.086404,72,11091.20604
-0.994023,72,11106.444649
-0.842935,72,11122.615622
-0.966673,72,11139.397592
-0.725527,72,11155.268862
-0.994981,72,11173.442088
-1.163225,72,11190.523468
-0.759552,72,11207.551975
-1.569469,72,11226.97705
-1.018386,72,11246.962087
-0.989123,72,11264.537863
-0.765246,72,11280.449229
-1.055854,72,11298.630033
-1.221939,72,11316.937401
-1.340029,72,11334.88488
-1.038901,72,11353.22863
-1.725438,72,11369.078508
-0.986811,72,11385.787098
-1.179767,72,11405.795578
-0.889457,72,11424.806191
-0.888556,72,11440.994473
-1.077,72,11458.811735
-1.031151,72,11477.487366
-1.079428,72,11492.405566
-0.758922,72,11510.179615
-1.484427,72,11528.872651
-0.866694,72,11547.253719
-0.751565,72,11566.708642
-1.539729,72,11583.036231
-0.856715,72,11599.88742
-1.260984,72,11618.147287
-0.93027,72,11637.685186
-0.752862,72,11653.85314
-0.930349,72,11672.5686
-0.764892,72,11691.382001
-0.899883,72,11710.503275
-1.697226,72,11727.0206
-0.972516,72,11743.278946
-0.801077,72,11762.822783
-1.630727,72,11780.578896
-0.896746,72,11797.11093
-0.957347,72,11814.804766
-1.575471,72,11830.832755
-0.860717,72,11850.433312
-0.831588,72,11866.369104
-1.772581,72,11884.709693
-0.871853,72,11904.124707
-1.152711,72,11922.845001
-0.799342,72,11943.617787
-1.052738,72,11961.890492
-0.78424,72,11978.156982
-0.9157,72,11995.31402
-0.825134,72,12014.876578
-0.835949,72,12031.801655
-1.290726,72,12048.372073
-0.698159,72,12065.591455
-1.015291,72,12082.749116
-0.762566,72,12099.022137
-1.003368,72,12117.460446
-0.950207,72,12135.267035
-1.159119,72,12153.219685
-1.138534,72,12169.214334
-0.767207,72,12188.615334
-0.886833,72,12204.951858
-1.082105,72,12219.712677
-0.658784,72,12239.134251
-1.130146,72,12257.645226
-0.896586,72,12275.020908
-0.832013,72,12295.388906
-1.007363,72,12313.686944
-0.931901,72,12332.904516
-0.707571,72,12349.829086
-1.618314,72,12367.918253
-0.856126,72,12385.238379
-1.009738,72,12404.313336
-0.727483,72,12423.447267
-0.906529,72,12441.177024
-0.805445,72,12461.391411
-0.856677,72,12478.61948
-0.854213,72,12495.288787
-0.962366,72,12513.232337
-1.500439,72,12531.268458
-1.760161,72,12548.348703
-0.708704,72,12566.750439
-0.963345,72,12586.040512
-1.438014,72,12603.268903
-1.005873,72,12621.433706
-0.767888,72,12640.045224
-0.815898,72,12657.736579
-0.951779,72,12673.365413
-0.948585,72,12691.065295
-0.740104,72,12707.634648
-0.818641,72,12724.926644
-0.999975,72,12743.849354
-1.129032,72,12760.824571
-1.601652,72,12778.640509
-0.732535,72,12795.164298
-0.969427,72,12812.377517
-0.815251,72,12828.227876
-0.740704,72,12845.476057
-0.830265,72,12863.237525
-0.784505,72,12878.966607
-0.922267,72,12895.942433
-0.835839,72,12912.692249
-0.822474,72,12932.78223
-0.743342,72,12951.464072
-1.008426,72,12970.432884
-1.592649,72,12989.326296
-0.880786,72,13005.820407
-1.224853,72,13022.926121
-0.956948,72,13042.355248
-1.363352,72,13060.03385
-1.040156,72,13079.569588
-0.849378,72,13095.554897
-1.013063,72,13114.193169
-1.08463,72,13130.777597
-0.76149,72,13148.124751
-0.671328,72,13164.598028
-0.838054,72,13184.252634
-0.755154,72,13199.543391
-1.279574,72,13216.91406
-1.238343,72,13232.96801
-0.766058,72,13249.425721
-0.766137,72,13266.453548
-1.016716,72,13283.872143
-1.196792,72,13301.325402
-0.940686,72,13319.645447
-0.920057,72,13338.115539
-1.713749,72,13355.371159
-0.832679,72,13374.501068
-0.850939,72,13394.486549
-1.210264,72,13410.105357
-0.729619,72,13427.232418
-0.986287,72,13441.971328
-0.9384,72,13461.492521
-0.882974,72,13478.536923
-0.911331,72,13496.688527
-0.897227,72,13517.181991
-1.452194,72,13534.599561
-0.744788,72,13554.120724
-0.870605,72,13571.045331
-0.912265,72,13589.594573
-0.95341,72,13605.869856
-0.772412,72,13624.673515
-0.873689,72,13640.909374
-0.932839,72,13660.801972
-0.85115,72,13677.798301
-1.492475,72,13696.337061
-0.847611,72,13716.046837
-0.931336,72,13731.8879
-0.803453,72,13750.152778
-1.21483,72,13767.280377
-0.829238,72,13786.193117
-0.92797,72,13802.746711
-1.183734,72,13821.796273
-0.746106,72,13839.83984
-0.810558,72,13859.268915
-1.348424,72,13876.81751
-1.276507,72,13894.566005
-0.762364,72,13913.004918
-0.730445,72,13931.844982
-1.529455,72,13948.880033
-0.886249,72,13966.042109
-1.071656,72,13984.794672
-1.226101,72,14002.002603
-1.01804,72,14020.250374
-0.81032,72,14035.039517
-1.16016,72,14051.234532
-0.917773,72,14068.33701
-0.956542,72,14087.374568
-1.135365,72,14108.075333
-0.898139,72,14125.851705
-0.941174,72,14146.228287
-1.078361,72,14165.862005
-1.956089,72,14182.980427
-0.864399,72,14201.696642
-0.979749,72,14221.455121
-1.014091,72,14236.718264
-1.278628,72,14255.088326
-0.857636,72,14275.205952
-0.884698,72,14292.060157
-1.031993,72,14312.11887
-0.945915,72,14331.033453
-1.405846,72,14350.118161
-1.15659,72,14367.715134
-0.807097,72,14384.493119
-1.164509,72,14399.43935
-0.824136,72,14417.799141
-0.690414,72,14435.172168
-0.733146,72,14454.185286
-1.047945,72,14471.379579
-0.904095,72,14491.20276
-1.074845,72,14510.794156
-1.169002,72,14530.727065
-0.819969,72,14547.401879
-0.853154,72,14568.042739
-0.867134,72,14586.633227
-0.917084,72,14606.588301
-0.7445,72,14625.533299
-0.76505,72,14642.857798
-1.288447,72,14659.835204
-0.95732,72,14678.241175
-1.103187,72,14695.211284
-0.918545,72,14714.072962
-0.967302,72,14732.058943
-0.904802,72,14750.024973
-0.781821,72,14768.993606
-1.040275,72,14785.846311
-0.845087,72,14802.240701
-0.845067,72,14821.704959
-1.027211,72,14841.427664
-0.811169,72,14858.320094
-0.762101,72,14876.692157
-0.854766,72,14893.163769
-1.076816,72,14911.323486
-0.821749,72,14929.446485
-0.818496,72,14950.414353
-0.848526,72,14970.291376
-1.046892,72,14989.054987
-1.642983,72,15008.449561
-1.076505,72,15026.014004
-1.551456,72,15043.411407
-1.061307,72,15058.030089
-1.25169,72,15074.308531
-0.931309,72,15091.588963
-0.866966,72,15107.008351
-0.795546,72,15123.207016
-0.836395,72,15142.667016
-1.084348,72,15161.841688
-0.916039,72,15180.150009
-0.865363,72,15197.27419
-0.926017,72,15216.764967
-1.389415,72,15233.633504
-0.963975,72,15251.536704
-1.551714,72,15269.011977
-0.86324,72,15289.233299
-0.983153,72,15308.575333
-0.996072,72,15326.25596
-0.946226,72,15343.050782
-0.988432,72,15362.502604
-0.935953,72,15381.38877
-0.829824,72,15398.379666
-0.940429,72,15417.613474
-0.955847,72,15436.834084
-0.884492,72,15453.270029
-0.908825,72,15473.153352
-1.000755,72,15490.484818
-0.731124,72,15509.409339
-0.97552,72,15527.885305
-0.919239,72,15546.982975
-1.053476,72,15564.314223
-1.057822,72,15584.628526
-0.741023,72,15603.267539
-1.52277,72,15622.985242
-1.446469,72,15642.283286
-0.715501,72,15660.419586
-1.508148,72,15679.179153
-0.901989,72,15699.175934
-1.019463,72,15719.394297
-1.227015,72,15736.432161
-1.484777,72,15753.948108
-1.275566,72,15773.984496
-0.78614,72,15793.644027
-1.529899,72,15811.055962
-0.718337,72,15828.961452
-1.444728,72,15850.161656
-1.496136,72,15869.46629
-1.04216,72,15889.501736
-0.954989,72,15908.873235
-0.719941,72,15926.573287
-1.426935,72,15943.764811
-0.888022,72,15963.459082
-1.170075,72,15982.735664
-0.840073,72,16002.821657
-1.148796,72,16021.200982
-1.296852,72,16038.802727
-0.788521,72,16056.900165
-1.540178,72,16073.166874
-1.120492,72,16093.273354
-1.395178,72,16111.475732
-0.985723,72,16127.966859
-0.88492,72,16145.728357
-1.599789,72,16163.999558
-1.053048,72,16183.513887
-0.868839,72,16200.4705
-1.327211,72,16217.204339
-0.740251,72,16233.998381
-0.871516,72,16253.962961
-0.824607,72,16271.831365
-0.96734,72,16292.18346
-1.024714,72,16311.61813
-0.911891,72,16328.878175
-0.841404,72,16347.618601
-0.792074,72,16365.424231
-1.270033,72,16385.820274
-0.724777,72,16402.382239
-0.76638,72,16417.858285
-1.074285,72,16434.432487
-1.765061,72,16451.197501
-0.998186,72,16467.918484
-1.359155,72,16486.79275
-0.844712,72,16507.410165
-0.831424,72,16525.378073
-0.750136,72,16542.26236
-0.824525,72,16561.244008
-0.812462,72,16580.220214
-1.005085,72,16596.936585
-1.412779,72,16615.956438
-0.809315,72,16633.500591
-0.957087,72,16653.036741
-1.333687,72,16669.672681
-1.625478,72,16687.977917
-1.024247,72,16706.24479
-0.816206,72,16725.143082
-0.900555,72,16745.777892
-0.930674,72,16764.794362
-0.970516,72,16784.864947
-1.456485,72,16802.461154
-0.900933,72,16821.664801
-0.835643,72,16842.92407
-1.288017,72,16862.381727
-0.801395,72,16882.556759
-1.590868,72,16901.591335
-0.980532,72,16919.266696
-1.085879,72,16934.902863
-1.087543,72,16951.717858
-1.051621,72,16970.98945
-0.842695,72,16990.182756
-0.781761,72,17008.805966
-1.004596,72,17030.011178
-0.788833,72,17049.789333
-1.423807,72,17068.17174
-0.863381,72,17086.507867
-1.172488,72,17105.796405
-1.40986,72,17121.673797
-1.102256,72,17139.580618
