time/iterations,time/total_timesteps,train/policy_loss,rollout/ep_rew_mean,train/entropy_loss,time/fps,train/value_loss,time/time_elapsed,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/explained_variance
100,500,-0.11507779359817505,-1.4340833333333334,-5.7855987548828125,4,0.0005229367525316775,122,99,72.0,0.0007,0.0
200,1000,0.06407161802053452,-1.455304923076923,-5.707627773284912,4,0.00014283591008279473,247,199,72.0,0.0007,1.1920928955078125e-07
300,1500,-0.10229363292455673,-1.3329728999999997,-5.708031177520752,3,0.00047731256927363575,375,299,72.0,0.0007,0.0
400,2000,0.12039759010076523,-1.2945471111111109,-5.791627407073975,4,0.0005400207010097802,495,399,72.0,0.0007,0.0
500,2500,0.07640527933835983,-1.233893176470588,-5.7907938957214355,4,0.00019122213416267186,618,499,72.0,0.0007,0.0
600,3000,0.09345334023237228,-1.2138338536585367,-5.748971462249756,4,0.0003046862257178873,723,599,72.0,0.0007,5.960464477539063e-08
700,3500,0.040465280413627625,-1.171537375,-5.705318450927734,4,7.061409996822476e-05,827,699,72.0,0.0007,-1.1920928955078125e-07
800,4000,-0.12015154212713242,-1.157008381818182,-5.738533020019531,4,0.0007353702676482499,924,799,72.0,0.0007,0.0
900,4500,-0.19249074161052704,-1.1449402903225807,-5.723527431488037,4,0.0013077625771984458,1020,899,72.0,0.0007,0.0
1000,5000,0.1151186004281044,-1.128373492753623,-5.777811527252197,4,0.0004821480833925307,1118,999,72.0,0.0007,0.0
1100,5500,0.11736271530389786,-1.1236810131578947,-5.737441062927246,4,0.0004967714194208384,1219,1099,72.0,0.0007,0.0
1200,6000,0.15050780773162842,-1.1152005421686746,-5.6954803466796875,4,0.0008782404474914074,1318,1199,72.0,0.0007,0.0
1300,6500,0.0374155156314373,-1.1111563666666666,-5.714427947998047,4,9.303192928200588e-05,1418,1299,72.0,0.0007,5.960464477539063e-08
1400,7000,0.1210336685180664,-1.1131248144329897,-5.713023662567139,4,0.000604340631980449,1520,1399,72.0,0.0007,0.0
1500,7500,0.12471079081296921,-1.0945012900000002,-5.7778120040893555,4,0.0005928677855990827,1627,1499,72.0,0.0007,0.0
1600,8000,-0.6434206366539001,-1.06065458,-5.7757768630981445,4,0.03398086503148079,1743,1599,72.0,0.0007,-1.1920928955078125e-07
1700,8500,-0.07846176624298096,-1.06052132,-5.735147476196289,4,0.00020223684259690344,1857,1699,72.0,0.0007,0.0
1800,9000,0.16448548436164856,-1.0611015499999998,-5.687182903289795,4,0.0009934835834428668,1969,1799,72.0,0.0007,0.0
1900,9500,-0.2269250452518463,-1.0573614000000002,-5.708364009857178,4,0.0016409477684646845,2080,1899,72.0,0.0007,0.0
2000,10000,-0.07462101429700851,-1.0494387499999998,-5.718011856079102,4,0.000539456435944885,2190,1999,72.0,0.0007,0.0
2100,10500,0.049948420375585556,-1.0555690899999997,-5.746110439300537,4,0.00010373683471698314,2305,2099,72.0,0.0007,0.0
2200,11000,-0.019833102822303772,-1.0544187699999998,-5.762166976928711,4,4.8338268243242055e-05,2420,2199,72.0,0.0007,0.0
2300,11500,-0.07062611728906631,-1.0497640799999999,-5.724210262298584,4,0.00019042885105591267,2531,2299,72.0,0.0007,5.960464477539063e-08
2400,12000,0.06583496183156967,-1.06385092,-5.702359199523926,4,0.00028190648299641907,2644,2399,72.0,0.0007,0.0
2500,12500,-0.40235549211502075,-1.04559733,-5.7041168212890625,4,0.005604492034763098,2752,2499,72.0,0.0007,0.0
2600,13000,0.10822723060846329,-1.05887686,-5.627317428588867,4,0.0003831729700323194,2866,2599,72.0,0.0007,1.1920928955078125e-07
2700,13500,0.050060104578733444,-1.04976873,-5.693034648895264,4,0.00010728847701102495,2981,2699,72.0,0.0007,0.0
2800,14000,0.07393943518400192,-1.0370034,-5.709949493408203,4,0.00018860968702938408,3094,2799,72.0,0.0007,0.0
2900,14500,0.17210708558559418,-1.04897703,-5.6818342208862305,4,0.001080151298083365,3204,2899,72.0,0.0007,0.0
3000,15000,0.08853787183761597,-1.0494709000000002,-5.785529136657715,4,0.00029512782930396497,3315,2999,72.0,0.0007,0.0
3100,15500,0.15048067271709442,-1.0349811,-5.775492191314697,4,0.0008358326740562916,3432,3099,72.0,0.0007,0.0
3200,16000,0.22643724083900452,-1.04271724,-5.7478461265563965,4,0.002086821710690856,3544,3199,72.0,0.0007,0.0
3300,16500,0.12828074395656586,-1.03480417,-5.758063316345215,4,0.0005772755830548704,3658,3299,72.0,0.0007,0.0
3400,17000,-0.1224331259727478,-1.0357787099999998,-5.728354454040527,4,0.008610599674284458,3774,3399,72.0,0.0007,0.0
3500,17500,-0.21166768670082092,-1.02974882,-5.7414870262146,4,0.0015024490421637893,3887,3499,72.0,0.0007,0.0
3600,18000,-0.021775880828499794,-1.0399216299999998,-5.707540035247803,4,7.755940168863162e-05,3996,3599,72.0,0.0007,0.0
3700,18500,0.11037073284387589,-1.02370283,-5.72371768951416,4,0.0004581475805025548,4109,3699,72.0,0.0007,0.0
3800,19000,0.045686665922403336,-1.01523684,-5.7121901512146,4,9.910150401992723e-05,4228,3799,72.0,0.0007,0.0
3900,19500,0.036820188164711,-1.02598265,-5.716046333312988,4,0.00010868613753700629,4353,3899,72.0,0.0007,0.0
4000,20000,0.0866924524307251,-1.0131758599999998,-5.711892604827881,4,0.00025617508799768984,4467,3999,72.0,0.0007,0.0
4100,20500,0.03634584695100784,-1.01687638,-5.687288761138916,4,4.902070577372797e-05,4579,4099,72.0,0.0007,1.1920928955078125e-07
4200,21000,-0.1301843374967575,-1.01313499,-5.661405086517334,4,0.0006013087113387883,4700,4199,72.0,0.0007,-1.1920928955078125e-07
4300,21500,0.04148862510919571,-1.0150858600000001,-5.6720404624938965,4,8.16575120552443e-05,4818,4299,72.0,0.0007,-1.1920928955078125e-07
4400,22000,0.12037843465805054,-1.0135858000000002,-5.660295486450195,4,0.0005371887818910182,4938,4399,72.0,0.0007,5.960464477539063e-08
4500,22500,0.07258587330579758,-1.00687314,-5.715330123901367,4,0.00021501090668607503,5054,4499,72.0,0.0007,1.1920928955078125e-07
4600,23000,0.2043013572692871,-0.99863622,-5.745124816894531,4,0.0013490307610481977,5165,4599,72.0,0.0007,0.0
4700,23500,-0.020054077729582787,-0.9870501800000001,-5.733099937438965,4,0.00011641447053989395,5280,4699,72.0,0.0007,0.0
4800,24000,0.16252245008945465,-0.9988090400000001,-5.672715663909912,4,0.0009653167799115181,5397,4799,72.0,0.0007,0.0
4900,24500,-0.07351386547088623,-0.9953480400000001,-5.6662678718566895,4,0.0006771399057470262,5515,4899,72.0,0.0007,-1.1920928955078125e-07
5000,25000,-0.06904445588588715,-0.9922991600000001,-5.667364120483398,4,0.0001508097193436697,5634,4999,72.0,0.0007,0.0
5100,25500,0.15117059648036957,-0.9984474599999998,-5.665769100189209,4,0.0008502863347530365,5753,5099,72.0,0.0007,0.0
5200,26000,-0.46973729133605957,-0.9980039900000002,-5.670373439788818,4,0.02506600134074688,5872,5199,72.0,0.0007,-1.1920928955078125e-07
5300,26500,0.06017095968127251,-1.00233833,-5.689198970794678,4,0.00011926472507184371,5985,5299,72.0,0.0007,0.0
5400,27000,0.11847348511219025,-1.00669951,-5.690113067626953,4,0.0005163276800885797,6098,5399,72.0,0.0007,0.0
5500,27500,0.06419825553894043,-1.01416057,-5.68718957901001,4,0.0002233410777989775,6212,5499,72.0,0.0007,0.0
5600,28000,0.04438934475183487,-1.01730019,-5.720878601074219,4,0.00011415653716539964,6327,5599,72.0,0.0007,0.0
5700,28500,-0.16459645330905914,-1.01342466,-5.698278903961182,4,0.0009458314743824303,6441,5699,72.0,0.0007,0.0
5800,29000,0.062165405601263046,-1.01311494,-5.724925994873047,4,0.00014581017603632063,6557,5799,72.0,0.0007,-1.1920928955078125e-07
5900,29500,0.014775785617530346,-1.01732136,-5.707708358764648,4,9.107479127123952e-05,6680,5899,72.0,0.0007,0.0
6000,30000,0.061173778027296066,-1.0266948,-5.712831020355225,4,0.00018255783652421087,6802,5999,72.0,0.0007,0.0
6100,30500,0.12473584711551666,-1.02375044,-5.677288055419922,4,0.0005285910447128117,6921,6099,72.0,0.0007,-1.1920928955078125e-07
6200,31000,-0.012609495781362057,-1.01333271,-5.692727565765381,4,5.940796108916402e-05,7041,6199,72.0,0.0007,0.0
6300,31500,0.044562093913555145,-1.027995,-5.674059867858887,4,0.00010119046783074737,7160,6299,72.0,0.0007,-1.1920928955078125e-07
6400,32000,0.059870559722185135,-1.03617044,-5.680095672607422,4,0.00013265703455545008,7280,6399,72.0,0.0007,1.1920928955078125e-07
6500,32500,0.14933858811855316,-1.02530106,-5.671431064605713,4,0.0007375266868621111,7406,6499,72.0,0.0007,0.0
6600,33000,0.08796961605548859,-1.01831173,-5.678452968597412,4,0.00022660578542854637,7533,6599,72.0,0.0007,-1.1920928955078125e-07
6700,33500,0.07788603007793427,-1.0180173100000003,-5.698274612426758,4,0.0002301650820299983,7651,6699,72.0,0.0007,0.0
6800,34000,0.0062906453385949135,-1.0145502,-5.734445095062256,4,1.2354258615232538e-05,7772,6799,72.0,0.0007,-1.1920928955078125e-07
6900,34500,0.04356473684310913,-1.00542904,-5.740463733673096,4,8.455973875243217e-05,7888,6899,72.0,0.0007,0.0
7000,35000,-0.32663971185684204,-1.01864136,-5.723935604095459,4,0.006558072753250599,8011,6999,72.0,0.0007,0.0
7100,35500,0.027391595765948296,-1.01499198,-5.686315059661865,4,4.038633778691292e-05,8125,7099,72.0,0.0007,-1.1920928955078125e-07
7200,36000,-0.07351537048816681,-1.02240642,-5.720506191253662,4,0.00019652838818728924,8249,7199,72.0,0.0007,0.0
7300,36500,-0.22322367131710052,-1.0229131500000002,-5.7076568603515625,4,0.0021168983075767756,8372,7299,72.0,0.0007,0.0
7400,37000,0.061145007610321045,-1.03451367,-5.676252841949463,4,0.00033866107696667314,8496,7399,72.0,0.0007,0.0
7500,37500,0.1279154270887375,-1.03858182,-5.668992519378662,4,0.0007055112509988248,8618,7499,72.0,0.0007,0.0
7600,38000,-0.13309238851070404,-1.03913126,-5.676591873168945,4,0.0006836419925093651,8743,7599,72.0,0.0007,0.0
7700,38500,0.11499641090631485,-1.03909066,-5.695456504821777,4,0.0005661518662236631,8862,7699,72.0,0.0007,-1.1920928955078125e-07
7800,39000,0.13635770976543427,-1.02762347,-5.6729044914245605,4,0.0007176746730692685,8985,7799,72.0,0.0007,0.0
7900,39500,0.05943460017442703,-1.02990142,-5.704573631286621,4,0.00014746216766070575,9104,7899,72.0,0.0007,-1.1920928955078125e-07
8000,40000,0.09024206548929214,-1.03850043,-5.721907615661621,4,0.00044903979869559407,9220,7999,72.0,0.0007,0.0
8100,40500,0.05286890268325806,-1.02846732,-5.710494041442871,4,0.00011592511873459443,9335,8099,72.0,0.0007,1.1920928955078125e-07
8200,41000,0.11652260273694992,-1.0300342599999999,-5.696414947509766,4,0.0005667816731147468,9456,8199,72.0,0.0007,0.0
8300,41500,0.10515117645263672,-1.02874484,-5.680820465087891,4,0.00037703217822127044,9571,8299,72.0,0.0007,0.0
8400,42000,0.07853397727012634,-1.0219324699999999,-5.695598602294922,4,0.00022088464174885303,9692,8399,72.0,0.0007,0.0
8500,42500,0.1155884638428688,-1.02102867,-5.695108413696289,4,0.0006591557175852358,9811,8499,72.0,0.0007,0.0
8600,43000,-0.11012253910303116,-1.0259066799999998,-5.701291561126709,4,0.0004211557097733021,9930,8599,72.0,0.0007,0.0
8700,43500,0.004667028784751892,-1.0199933200000002,-5.72756814956665,4,0.00015615025768056512,10050,8699,72.0,0.0007,0.0
8800,44000,-0.3813575208187103,-1.01482563,-5.748217582702637,4,0.020916519686579704,10170,8799,72.0,0.0007,0.0
8900,44500,0.09961076080799103,-1.00480459,-5.7535400390625,4,0.00036050353082828224,10290,8899,72.0,0.0007,0.0
9000,45000,0.05240432173013687,-1.00538454,-5.740066051483154,4,0.00010822051990544423,10413,8999,72.0,0.0007,0.0
9100,45500,-0.04044922813773155,-1.01393343,-5.7332682609558105,4,0.00011353334411978722,10535,9099,72.0,0.0007,0.0
9200,46000,0.05864232778549194,-0.9976613400000001,-5.7154860496521,4,0.00011597975390031934,10654,9199,72.0,0.0007,0.0
9300,46500,0.07367246598005295,-0.98543582,-5.734034061431885,4,0.000223865412408486,10782,9299,72.0,0.0007,0.0
9400,47000,-0.03271165490150452,-0.9898364199999997,-5.727939605712891,4,6.736593059031293e-05,10905,9399,72.0,0.0007,0.0
9500,47500,0.09119929373264313,-1.00024925,-5.6958770751953125,4,0.0003014843969140202,11030,9499,72.0,0.0007,0.0
9600,48000,-0.0087705347687006,-0.9957176,-5.707238674163818,4,0.00012380869884509593,11143,9599,72.0,0.0007,0.0
9700,48500,0.09650783985853195,-1.00328473,-5.71340799331665,4,0.0003680838563013822,11267,9699,72.0,0.0007,0.0
9800,49000,-0.021958274766802788,-1.02047581,-5.69779109954834,4,0.00013515405589714646,11391,9799,72.0,0.0007,0.0
9900,49500,0.09164249151945114,-1.0137807399999998,-5.701433181762695,4,0.0002832759637385607,11513,9899,72.0,0.0007,0.0
10000,50000,0.13320603966712952,-1.0099224199999997,-5.73117733001709,4,0.0006569853285327554,11639,9999,72.0,0.0007,0.0
10100,50500,-0.011186033487319946,-1.01676274,-5.709849834442139,4,0.00012251226871740073,11762,10099,72.0,0.0007,0.0
10200,51000,0.1836569905281067,-1.0350795999999998,-5.694801330566406,4,0.0009881939040496945,11884,10199,72.0,0.0007,0.0
10300,51500,0.09318491071462631,-1.02253179,-5.721343994140625,4,0.00039840658428147435,12013,10299,72.0,0.0007,-1.1920928955078125e-07
10400,52000,-0.024097343906760216,-1.02249736,-5.722297668457031,4,5.339663402992301e-05,12133,10399,72.0,0.0007,1.1920928955078125e-07
10500,52500,0.12910853326320648,-1.01656884,-5.722098350524902,4,0.0006044558249413967,12253,10499,72.0,0.0007,0.0
10600,53000,-0.34153851866722107,-1.0139317700000001,-5.725860595703125,4,0.023752138018608093,12380,10599,72.0,0.0007,0.0
10700,53500,-0.04326428845524788,-1.0139492600000002,-5.701898097991943,4,7.822227053111419e-05,12508,10699,72.0,0.0007,0.0
10800,54000,0.07817931473255157,-1.03035722,-5.696657657623291,4,0.00020361447241157293,12633,10799,72.0,0.0007,-1.1920928955078125e-07
10900,54500,-0.031093526631593704,-1.01386522,-5.693204879760742,4,0.00014868329162709415,12753,10899,72.0,0.0007,-1.1920928955078125e-07
11000,55000,0.011767496354877949,-1.0108806799999999,-5.705284595489502,4,1.0286408723914064e-05,12870,10999,72.0,0.0007,0.0
