time/total_timesteps,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
672,106,6,0.9977824,168.0,4,-2.7985625,,,
1344,220,6,0.9955647999999999,168.0,8,-2.439802375,0.001,168,97.26920890808105
2016,341,5,0.9933472,168.0,12,-2.9148157500000003,0.001,504,267.8803062438965
2688,462,5,0.9911295999999999,168.0,16,-2.7614702500000003,0.001,840,151.61648559570312
3360,582,5,0.9889120000000001,168.0,20,-2.9614313,0.001,1176,201.16072845458984
4032,696,5,0.9866944000000001,168.0,24,-2.9889743333333336,0.001,1512,406.5333557128906
4704,811,5,0.9844768,168.0,28,-3.002604214285715,0.001,1848,578.3379440307617
5376,918,5,0.9822592,168.0,32,-3.0711371875,0.001,2184,563.0764389038086
6048,1042,5,0.9800416,168.0,36,-2.9595835277777782,0.001,2520,1678.0712890625
6720,1167,5,0.977824,168.0,40,-2.9289767,0.001,2856,1149.4112548828125
7392,1295,5,0.9756064,168.0,44,-2.925907272727273,0.001,3192,1511.5607604980469
8064,1431,5,0.9733887999999999,168.0,48,-2.8874354791666668,0.001,3528,4044.750244140625
8736,1567,5,0.9711711999999999,168.0,52,-2.8721064230769233,0.001,3864,4717.298645019531
9408,1697,5,0.9689536000000001,168.0,56,-2.8532599464285715,0.001,4200,6285.953369140625
10080,1827,5,0.966736,168.0,60,-2.8548144833333335,0.001,4536,11159.40478515625
10752,1949,5,0.9645184,168.0,64,-2.9456634843750003,0.001,4872,12557.10693359375
11424,2086,5,0.9623008000000001,168.0,68,-2.8841901764705886,0.001,5208,18188.863891601562
12096,2209,5,0.9600832,168.0,72,-2.910977152777778,0.001,5544,25227.33837890625
12768,2344,5,0.9578656,168.0,76,-2.934143171052632,0.001,5880,29393.28271484375
13440,2476,5,0.9556479999999999,168.0,80,-2.9238826125000004,0.001,6216,42239.8427734375
14112,2605,5,0.9534304,168.0,84,-2.9292612380952385,0.001,6552,59598.08984375
14784,2736,5,0.9512128,168.0,88,-2.933522806818182,0.001,6888,46847.560546875
15456,2870,5,0.9489951999999999,168.0,92,-2.9270007608695656,0.001,7224,94352.69140625
16128,3005,5,0.9467776000000001,168.0,96,-2.9202862916666668,0.001,7560,132819.529296875
16800,3133,5,0.9445600000000001,168.0,100,-2.8707203800000003,0.001,7896,135175.23828125
17472,3248,5,0.9423424,168.0,104,-2.9383934700000007,0.001,8232,169664.7421875
18144,3376,5,0.9401248,168.0,108,-2.93762612,0.001,8568,324986.046875
18816,3512,5,0.9379071999999999,168.0,112,-2.86080637,0.001,8904,285485.44140625
19488,3650,5,0.9356896,168.0,116,-2.8465405100000005,0.001,9240,383386.6796875
20160,3791,5,0.933472,168.0,120,-2.7708875,0.001,9576,637991.6484375
20832,3931,5,0.9312543999999999,168.0,124,-2.77224628,0.001,9912,648242.3203125
21504,4069,5,0.9290367999999999,168.0,128,-2.73954687,0.001,10248,516297.65625
22176,4211,5,0.9268192000000001,168.0,132,-2.68581045,0.001,10584,676450.859375
22848,4348,5,0.9246016,168.0,136,-2.70158181,0.001,10920,605621.015625
23520,4474,5,0.9223840000000001,168.0,140,-2.7113137,0.001,11256,691508.0
24192,4594,5,0.9201664,168.0,144,-2.7155434400000003,0.001,11592,537804.703125
24864,4728,5,0.9179488,168.0,148,-2.72641209,0.001,11928,601249.3125
25536,4873,5,0.9157312,168.0,152,-2.72416108,0.001,12264,492521.59375
26208,5002,5,0.9135135999999999,168.0,156,-2.7610324799999995,0.001,12600,776955.890625
26880,5134,5,0.9112959999999999,168.0,160,-2.7226912700000003,0.001,12936,542805.703125
27552,5255,5,0.9090784,168.0,164,-2.656106720000001,0.001,13272,463156.9375
28224,5377,5,0.9068607999999999,168.0,168,-2.6771870199999994,0.001,13608,587407.30078125
28896,5503,5,0.9046432000000001,168.0,172,-2.64379002,0.001,13944,477432.4375
29568,5637,5,0.9024256,168.0,176,-2.6401451599999994,0.001,14280,536684.9375
30240,5756,5,0.900208,168.0,180,-2.67766298,0.001,14616,511318.765625
30912,5889,5,0.8979904,168.0,184,-2.6659437499999994,0.001,14952,536688.4765625
31584,6028,5,0.8957728,168.0,188,-2.6579244899999996,0.001,15288,412918.984375
32256,6159,5,0.8935552,168.0,192,-2.6792242100000006,0.001,15624,457234.75
32928,6303,5,0.8913376,168.0,196,-2.7100682700000003,0.001,15960,727291.9296875
33600,6450,5,0.8891199999999999,168.0,200,-2.7605390300000003,0.001,16296,600437.3359375
34272,6595,5,0.8869024000000001,168.0,204,-2.67437876,0.001,16632,627004.1796875
34944,6739,5,0.8846848,168.0,208,-2.71791854,0.001,16968,689281.4609375
35616,6879,5,0.8824672,168.0,212,-2.75225147,0.001,17304,542471.484375
36288,7026,5,0.8802496000000001,168.0,216,-2.7448900899999997,0.001,17640,841105.734375
36960,7178,5,0.878032,168.0,220,-2.756488379999999,0.001,17976,719400.265625
37632,7322,5,0.8758144,168.0,224,-2.72905569,0.001,18312,854361.265625
38304,7460,5,0.8735968,168.0,228,-2.8019609800000005,0.001,18648,875603.125
38976,7610,5,0.8713792,168.0,232,-2.8693028199999997,0.001,18984,794151.09375
39648,7758,5,0.8691616,168.0,236,-2.8734537399999995,0.001,19320,783552.96875
40320,7910,5,0.8669439999999999,168.0,240,-2.8500157099999996,0.001,19656,967659.3125
40992,8061,5,0.8647263999999999,168.0,244,-2.8688028299999995,0.001,19992,1047621.25
41664,8210,5,0.8625088000000001,168.0,248,-2.85056243,0.001,20328,1178952.484375
42336,8352,5,0.8602912,168.0,252,-2.8889766800000003,0.001,20664,1095296.859375
43008,8482,5,0.8580736,168.0,256,-2.8926583900000002,0.001,21000,1099103.28125
43680,8617,5,0.855856,168.0,260,-2.889273830000001,0.001,21336,892603.21875
44352,8749,5,0.8536384,168.0,264,-2.94122479,0.001,21672,1175953.984375
45024,8881,5,0.8514208,168.0,268,-2.9821159800000006,0.001,22008,1105458.953125
45696,9011,5,0.8492031999999999,168.0,272,-3.0605751800000003,0.001,22344,952369.203125
46368,9142,5,0.8469855999999999,168.0,276,-3.0280411599999995,0.001,22680,1001387.546875
47040,9275,5,0.8447680000000001,168.0,280,-3.0546836,0.001,23016,868148.3125
47712,9412,5,0.8425504,168.0,284,-3.0476634500000004,0.001,23352,949695.9609375
48384,9532,5,0.8403328000000001,168.0,288,-3.1196090400000003,0.001,23688,776610.984375
49056,9679,5,0.8381152000000001,168.0,292,-3.0851519399999994,0.001,24024,738901.453125
49728,9819,5,0.8358976,168.0,296,-3.021384499999999,0.001,24360,755852.1640625
