#{"t_start": 1724401306.902459, "env_id": "None"}
r,l,t
-0.32174575,6,8.426864
-0.3808098,6,8.427195
-0.35712156,6,8.427215
-0.3522138,6,8.427235
-0.47314543,6,8.427243
-0.41605824,6,12.259475
-0.39566806,6,12.259525
-0.35105732,6,12.259536
-0.41446924,6,12.259544
-0.3734556,6,12.259552
-0.38345745,6,17.238994
-0.40819567,6,17.239564
-0.40613812,6,17.239605
-0.37286872,6,17.239633
-0.48652744,6,17.239664
-0.43940917,6,21.124676
-0.37978417,6,21.124783
-0.50810766,6,21.124811
-0.36102173,6,21.124836
-0.6577801,6,21.124859
-0.4067272,6,25.455911
-0.41533235,6,25.456074
-0.39408672,6,25.456086
-0.39614773,6,25.456095
-0.3815823,6,25.456105
-0.35790595,6,29.005626
-0.34735218,6,29.005969
-0.3661244,6,29.005997
-0.36318251,6,29.006023
-0.4755464,6,29.006046
-0.31970212,6,32.43307
-0.41377032,6,32.433109
-0.3664813,6,32.433121
-0.38525867,6,32.433129
-0.39856204,6,32.433137
-0.3898481,6,35.660907
-0.41854215,6,35.660968
-0.3076204,6,35.66098
-0.40549198,6,35.660988
-0.36576954,6,35.660995
-0.39070478,6,39.246719
-0.5057353,6,39.246847
-0.33702978,6,39.246877
-0.4005418,6,39.246903
-0.469141,6,39.246929
-0.4009729,6,42.402909
-0.37655708,6,42.403028
-0.42354947,6,42.403057
-0.50129133,6,42.403081
-0.3444669,6,42.403105
-0.37920517,6,46.057285
-0.4141435,6,46.057476
-0.40612298,6,46.057519
-0.3454011,6,46.057557
-0.36409605,6,46.057593
-0.43092713,6,49.578762
-0.40418875,6,49.578904
-0.4880299,6,49.578969
-0.37878084,6,49.579015
-0.31427494,6,49.579043
-0.36390886,6,53.746185
-0.39682242,6,53.746371
-0.52023095,6,53.746384
-0.40365365,6,53.746392
-0.39005217,6,53.746399
-0.36490464,6,58.293607
-0.45030275,6,58.293947
-0.5214616,6,58.293976
-0.37772083,6,58.294001
-0.44163528,6,58.294024
-0.375691,6,64.289577
-0.36790168,6,64.289742
-0.2930037,6,64.289754
-0.3354872,6,64.289762
-0.37788633,6,64.28977
-0.38654533,6,68.531394
-0.38219354,6,68.531561
-0.35163403,6,68.531574
-0.54789877,6,68.531584
-0.35898024,6,68.531595
-0.36623633,6,72.883062
-0.42115617,6,72.883208
-0.39786214,6,72.883219
-0.50278425,6,72.883228
-0.40600845,6,72.883235
-0.4019623,6,76.96218
-0.36169508,6,76.962297
-0.42320064,6,76.962325
-0.47708622,6,76.962349
-0.3556789,6,76.962372
-0.36721596,6,80.899477
-0.4599228,6,80.899625
-0.32880998,6,80.899637
-0.49486804,6,80.899645
-0.33260387,6,80.899655
-0.37789303,6,84.99619
-0.37928462,6,84.99631
-0.38951162,6,84.996337
-0.46842784,6,84.996361
-0.37223357,6,84.996385
-0.35584196,6,88.436981
-0.40223742,6,88.437075
-0.38402328,6,88.437103
-0.3083019,6,88.437128
-0.29632625,6,88.437152
-0.51250565,6,91.835418
-0.28920558,6,91.835642
-0.4294295,6,91.835659
-0.36366728,6,91.835668
-0.3890065,6,91.835676
-0.41391763,6,95.791274
-0.7329249,6,95.791314
-0.38378206,6,95.791326
-0.30446097,6,95.791334
-0.41085085,6,95.791341
-0.45374462,6,99.647757
-0.40287295,6,99.6479
-0.37018505,6,99.647912
-0.55195177,6,99.64792
-0.39517862,6,99.647931
-0.39135587,6,103.706907
-0.44602478,6,103.706992
-0.3682696,6,103.707004
-0.30161884,6,103.707021
-0.4758457,6,103.707029
-0.39248878,6,108.109067
-0.42764756,6,108.109402
-0.32864532,6,108.109431
-0.26050803,6,108.109455
-0.3563466,6,108.109486
-0.35256833,6,112.392496
-0.37441298,6,112.39277
-0.368028,6,112.392812
-0.35460818,6,112.392839
-0.29896894,6,112.392863
-0.45672575,6,115.9433
-0.5635654,6,115.943365
-0.35894305,6,115.943376
-0.4069338,6,115.943384
-0.34831616,6,115.943393
-0.5128308,6,119.49505
-0.37852117,6,119.495195
-0.36992833,6,119.495223
-0.4745492,6,119.495248
-0.46267876,6,119.495272
-0.4334863,6,123.917502
-0.4115592,6,123.917788
-0.45073023,6,123.917817
-0.30368903,6,123.917843
-0.5086629,6,123.917868
-0.3865845,6,127.613596
-0.35115492,6,127.613757
-0.34207663,6,127.613769
-0.36577836,6,127.613777
-0.39647374,6,127.613788
-0.35821,6,132.050489
-0.39581758,6,132.050801
-0.47561276,6,132.050831
-0.40104264,6,132.050856
-0.38879403,6,132.050891
-0.36587068,6,136.099392
-0.3627893,6,136.099732
-0.44904292,6,136.099762
-0.3881372,6,136.099828
-0.44867337,6,136.099858
-0.3265305,6,142.35084
-0.32601327,6,142.350995
-0.33385694,6,142.351019
-0.32658523,6,142.35104
-0.32645634,6,142.35106
-0.38032866,6,146.741705
-0.27783707,6,146.741745
-0.38209015,6,146.741755
-0.4402379,6,146.741762
-0.42723775,6,146.741768
-0.3939309,6,150.98401
-0.3871492,6,150.984329
-0.47076666,6,150.984355
-0.38309792,6,150.984376
-0.50069886,6,150.984403
-0.3533326,6,155.257812
-0.41099465,6,155.257946
-0.3670602,6,155.257977
-0.3156754,6,155.258002
-0.5003937,6,155.258036
-0.3664322,6,159.730601
-0.40613157,6,159.730896
-0.36600918,6,159.730926
-0.36653486,6,159.730952
-0.3091703,6,159.730983
-0.41996565,6,163.955513
