#{"t_start": 1723243327.6931393, "env_id": "None"}
r,l,t
-0.909022,72,12.986558
-0.804697,72,23.664055
-0.992544,72,34.799978
-1.237517,72,45.707019
-0.810341,72,57.867578
-0.777564,72,68.706054
-0.867728,72,78.698142
-0.906066,72,90.367309
-0.806354,72,101.75227
-0.766011,72,114.784975
-0.860805,72,126.186059
-0.981674,72,137.46027
-1.033229,72,147.65874
-1.013395,72,157.258695
-0.801302,72,168.41643
-0.834571,72,179.753201
-0.727821,72,189.585756
-0.753871,72,202.212168
-0.965942,72,215.588543
-1.042606,72,229.432066
-1.06774,72,241.352863
-0.836396,72,252.520844
-0.864411,72,264.211231
-0.810269,72,275.826888
-0.814358,72,288.451882
-0.863175,72,300.483703
-0.916618,72,312.846439
-1.369543,72,324.008413
-1.030536,72,335.61173
-0.983439,72,346.405627
-1.296659,72,356.691094
-0.818347,72,366.956584
-0.770561,72,378.128042
-0.941003,72,392.587665
-1.217467,72,404.107837
-1.205858,72,416.561389
-0.827128,72,428.441579
-0.852372,72,439.833561
-0.730302,72,452.241696
-0.95307,72,463.776128
-0.873719,72,474.439166
-1.231716,72,487.577098
-0.855117,72,500.146616
-1.396998,72,512.40193
-0.759931,72,524.904966
-1.601974,72,535.309902
-0.736431,72,547.236208
-1.215175,72,558.087038
-0.989873,72,570.518936
-0.816446,72,582.182958
-1.053383,72,593.271116
-0.886027,72,606.383885
-0.813207,72,618.648746
-0.737379,72,628.273345
-1.040113,72,639.207803
-0.958138,72,649.996784
-1.116096,72,662.100174
-1.262243,72,674.479911
-0.920173,72,687.453156
-0.906575,72,700.611045
-1.221716,72,711.995083
-0.798793,72,720.769332
-1.014946,72,731.468342
-0.957774,72,743.487292
-0.927248,72,755.579622
-0.824033,72,766.660399
-0.829199,72,777.427588
-0.907195,72,790.865878
-0.825093,72,803.462334
-0.945878,72,813.782182
-0.844978,72,823.488935
-1.043416,72,833.127065
-0.886616,72,844.701325
-1.016188,72,856.91004
-0.970543,72,870.182988
-0.864619,72,880.754999
-0.910032,72,892.563996
-0.90663,72,904.942036
-0.958318,72,915.959656
-0.912292,72,926.887355
-0.770038,72,939.68524
-0.798086,72,951.313439
-0.801052,72,960.628895
-0.868955,72,972.281628
-0.819041,72,985.71286
-0.792193,72,1000.355613
-1.077193,72,1012.052939
-0.857776,72,1024.0651
-1.064924,72,1036.164058
-0.728389,72,1047.679631
-0.960499,72,1058.631933
-0.977534,72,1070.594471
-0.964673,72,1084.151606
-0.733969,72,1098.172265
-0.720833,72,1107.677004
-0.911798,72,1118.950672
-0.847237,72,1129.601372
-1.091733,72,1140.382565
-0.898567,72,1153.091649
-0.787259,72,1162.815577
-0.873779,72,1173.766151
-1.132371,72,1186.096819
-0.95098,72,1198.209087
-1.103328,72,1209.518528
-1.173917,72,1219.865058
-0.881123,72,1228.990013
-0.763331,72,1241.569592
-0.752722,72,1252.182531
-0.932682,72,1264.475736
-0.750981,72,1278.593143
-0.823887,72,1290.72464
-1.134135,72,1303.180777
-1.01744,72,1314.065695
-1.153009,72,1325.705778
-0.773217,72,1334.884117
-1.055923,72,1346.490428
-0.761696,72,1355.718003
-1.162902,72,1366.008202
-0.895377,72,1379.17986
-0.853776,72,1391.633095
-0.836034,72,1403.874179
-0.697484,72,1415.069999
-1.253394,72,1424.908777
-0.89923,72,1437.100774
-1.113603,72,1446.96348
-0.900025,72,1459.021415
-0.808994,72,1471.336252
-1.144722,72,1482.399009
-0.860151,72,1494.27675
-1.043917,72,1507.304687
-1.415733,72,1518.092041
-0.877167,72,1529.865422
-0.852691,72,1542.74214
-0.981954,72,1554.230222
-0.891485,72,1563.499603
-0.848969,72,1576.226322
-0.876696,72,1589.121114
-1.674578,72,1601.614629
-0.770989,72,1611.01854
-0.886548,72,1623.171032
-0.894591,72,1635.800282
-1.34941,72,1647.207355
-0.762366,72,1658.676103
-0.698525,72,1668.479182
-0.865027,72,1679.248386
-0.837188,72,1691.465728
-0.869779,72,1702.417952
-0.77064,72,1713.033448
-1.051333,72,1723.620721
-0.825123,72,1734.853433
-0.928252,72,1747.134749
-0.942264,72,1760.243284
-0.943326,72,1773.213645
-1.068019,72,1784.978497
-0.937467,72,1796.637261
-0.765716,72,1806.584657
-0.885967,72,1817.331668
-1.338887,72,1827.561732
-0.889618,72,1837.938715
-0.910505,72,1848.455526
-0.79219,72,1858.80878
-0.979311,72,1872.148517
-0.726445,72,1884.802616
-0.987717,72,1896.668491
-1.145581,72,1909.698207
-0.782274,72,1920.059757
-0.849889,72,1932.306138
