#{"t_start": 1723759765.2948375, "env_id": "None"}
r,l,t
-0.891221,72,14.380552
-0.637188,72,27.095868
-1.162948,72,40.000423
-0.878912,72,54.934903
-0.734769,72,67.390661
-0.786305,72,80.363084
-0.676653,72,91.79101
-0.857263,72,106.130107
-1.075378,72,120.853495
-0.764463,72,136.355641
-0.842463,72,152.243151
-0.857524,72,166.340192
-0.820243,72,181.338604
-0.783516,72,196.739473
-0.987659,72,211.986492
-0.829321,72,224.629236
-0.808312,72,236.103066
-0.686059,72,250.505494
-0.780501,72,261.534601
-0.832788,72,276.760372
-0.827244,72,289.410646
-0.745906,72,304.664614
-0.62776,72,317.660359
-0.712266,72,329.690633
-0.698685,72,341.931151
-0.671585,72,354.279923
-0.684443,72,370.197001
-0.973525,72,386.958737
-0.895544,72,402.948704
-0.600238,72,417.208503
-0.686485,72,432.427158
-0.6739,72,445.947314
-0.785147,72,459.443682
-0.794826,72,473.850066
-0.712118,72,488.520948
-0.960072,72,500.789131
-0.826206,72,513.739407
-0.955315,72,526.946418
-0.668859,72,537.247347
-0.89731,72,549.143767
-0.653919,72,564.863092
-0.719483,72,578.958466
-0.952569,72,593.439531
-1.040634,72,607.471303
-0.797352,72,619.756869
-0.578432,72,631.480902
-0.802824,72,645.244359
-0.600495,72,656.804583
-0.684446,72,669.241409
-0.908083,72,681.438733
-0.689616,72,696.794034
-0.667235,72,708.734172
-0.876676,72,724.418651
-0.74876,72,735.67583
-0.635561,72,750.342325
-0.835998,72,763.000165
-0.79638,72,779.600418
-0.768449,72,792.011225
-0.955322,72,806.266247
-0.643305,72,819.251846
-0.938543,72,832.779943
-0.663942,72,846.211392
-0.885794,72,859.623885
-0.783442,72,874.40712
-0.682832,72,886.822169
-0.784323,72,900.669486
-0.750538,72,913.033031
-1.274374,72,928.297547
-0.725442,72,940.469062
-0.808275,72,954.565885
-0.753368,72,969.189433
-0.711118,72,982.681888
-0.761172,72,997.162533
-1.186549,72,1011.502616
-1.105457,72,1026.48077
-0.839865,72,1039.505061
-0.957928,72,1053.406205
-0.6968,72,1068.444978
-0.74102,72,1082.836993
-1.006938,72,1095.137233
-0.656147,72,1107.984894
-0.726347,72,1122.304052
-0.742274,72,1134.678381
-0.617252,72,1147.828695
-0.958889,72,1162.475293
-0.697167,72,1179.142697
-0.615759,72,1190.581149
-0.700622,72,1201.570966
-0.735457,72,1214.12586
-0.682958,72,1226.903598
-0.852722,72,1241.601488
-0.721203,72,1255.036446
-0.871487,72,1269.449646
-0.675107,72,1281.500659
-1.602542,72,1295.519105
-0.654738,72,1308.732399
-0.704279,72,1322.026637
-0.909792,72,1333.835069
-0.647006,72,1348.470368
-0.684513,72,1362.859096
-0.719546,72,1375.341198
-0.707963,72,1390.039274
-0.963994,72,1403.572908
-0.767716,72,1417.032799
-0.653127,72,1428.984692
-0.858281,72,1444.619422
-0.722563,72,1458.57211
-0.855008,72,1472.028934
-0.924366,72,1486.323374
-0.792326,72,1498.393946
-1.632234,72,1511.602302
-0.797037,72,1525.812323
-1.067958,72,1538.11057
-0.726108,72,1554.225939
-0.954673,72,1567.015947
-0.664628,72,1582.024463
-1.034858,72,1594.14384
-0.764084,72,1607.217509
-0.737647,72,1620.513632
-0.612467,72,1631.899967
-0.820461,72,1646.554165
-0.785445,72,1659.472396
-0.693418,72,1673.194656
-1.103066,72,1686.585726
-0.620458,72,1697.881943
-0.992118,72,1711.385113
-0.788955,72,1723.519179
-0.639537,72,1734.8329
-0.72288,72,1747.469836
-0.782891,72,1761.120571
-0.981606,72,1775.132191
-1.030218,72,1788.002485
-1.251691,72,1802.438228
-0.807804,72,1817.932283
-0.641162,72,1830.157725
-0.748941,72,1844.85287
-0.68813,72,1858.528152
-0.998095,72,1872.166064
-0.671301,72,1885.008158
-0.689347,72,1897.700472
-0.971534,72,1912.086608
-0.974198,72,1927.094301
-0.716758,72,1939.730437
-0.991815,72,1952.084422
-0.677026,72,1963.548348
-0.969819,72,1977.451672
-0.943516,72,1989.803779
-0.793185,72,2002.879533
-0.688197,72,2014.057642
-1.044926,72,2026.778337
-0.625321,72,2039.180642
-1.030538,72,2053.701004
-0.748067,72,2066.239125
-1.173491,72,2081.075086
-0.829093,72,2096.335057
-0.707414,72,2110.295423
-0.632364,72,2121.964479
-0.81439,72,2133.637073
-0.704891,72,2146.082294
-0.743767,72,2159.614221
-0.767876,72,2172.967889
-0.705245,72,2187.484201
-0.811468,72,2200.921659
-0.95609,72,2215.09562
-0.631974,72,2227.552392
-0.775361,72,2240.922029
-0.705377,72,2256.95155
-1.312789,72,2270.355241
-0.650288,72,2281.864153
-0.665126,72,2295.389574
-0.762567,72,2311.846295
-0.650707,72,2325.266548
-0.843704,72,2339.586993
-0.847704,72,2353.737302
-0.933419,72,2366.141266
-0.949536,72,2379.902782
-0.757906,72,2392.605441
-0.659262,72,2404.523746
-0.643621,72,2417.05472
-0.778217,72,2432.004664
-0.771908,72,2444.957829
-0.902424,72,2457.151389
-0.789435,72,2472.157556
-0.718305,72,2485.532745
-0.69699,72,2499.639811
-0.807104,72,2512.911418
-0.674039,72,2528.152638
-0.935729,72,2539.729574
-0.752791,72,2551.789537
-0.706694,72,2564.073143
-1.085663,72,2577.784119
-0.625422,72,2590.482035
-0.656926,72,2602.053831
-0.740116,72,2615.935119
-1.032837,72,2629.142333
-0.669962,72,2640.312249
-1.1382,72,2653.244508
-0.976085,72,2667.847541
-1.025294,72,2681.777996
-1.055014,72,2697.565101
-0.765827,72,2711.492217
-1.130199,72,2723.152009
-1.071885,72,2738.486575
-0.670787,72,2750.271643
-0.806419,72,2763.911338
-0.705475,72,2778.141896
-0.74298,72,2793.553136
-0.656404,72,2808.156784
-0.769744,72,2819.334822
-0.621724,72,2832.814426
-1.000985,72,2846.529297
-0.962428,72,2860.486502
-0.695376,72,2875.93551
-0.717708,72,2889.19873
-0.820052,72,2901.720095
-0.679929,72,2915.732716
-0.673645,72,2926.874363
-1.329246,72,2941.043834
-0.769399,72,2955.902652
-0.796088,72,2971.066199
-0.931861,72,2986.493276
-0.847209,72,2999.903404
-0.698963,72,3013.062097
-0.642838,72,3026.195109
-0.715802,72,3039.510592
-0.971272,72,3053.073708
-0.92848,72,3067.763135
-0.632705,72,3081.628015
-0.869444,72,3097.133562
-0.720301,72,3112.452102
-0.856672,72,3126.101112
-0.747828,72,3137.94425
-0.907702,72,3151.149004
-0.786569,72,3163.518088
-0.661573,72,3177.397421
-0.703539,72,3192.774538
-0.8018,72,3205.779311
-0.696488,72,3219.836856
-0.66332,72,3233.004275
-1.458076,72,3245.646462
-0.730222,72,3258.883913
-0.712724,72,3271.046802
-0.865635,72,3284.593203
-1.025528,72,3299.396833
-0.613635,72,3310.687825
-0.754856,72,3322.753067
