#{"t_start": 1723486639.651479, "env_id": "None"}
r,l,t
-0.946856,72,12.486431
-1.182277,72,27.710787
-0.864901,72,42.688061
-0.80299,72,54.059381
-0.876151,72,69.105423
-0.806023,72,82.003145
-1.33161,72,92.922163
-1.331908,72,105.794394
-1.272191,72,119.242364
-1.453294,72,131.868579
-0.82245,72,147.701174
-0.794535,72,162.055492
-1.249777,72,174.158943
-0.773226,72,185.883335
-1.436899,72,200.047405
-0.839868,72,213.730879
-0.999031,72,228.389902
-0.885173,72,243.482201
-0.869157,72,258.817499
-1.487127,72,271.662253
-0.85295,72,286.440593
-1.227125,72,299.558958
-0.953489,72,311.763759
-0.841007,72,325.891359
-1.140433,72,337.797869
-0.950657,72,353.925891
-0.918725,72,366.4277
-1.025887,72,380.926103
-1.486127,72,396.398222
-0.776139,72,409.736225
-0.976776,72,422.566562
-1.413434,72,434.755119
-1.54504,72,446.999996
-0.732898,72,459.942466
-0.902167,72,473.570932
-1.531222,72,487.085369
-1.064276,72,498.690687
-1.116436,72,512.883339
-1.058938,72,524.729476
-1.090882,72,537.739884
-0.774277,72,553.644531
-0.984459,72,567.031278
-0.844503,72,583.431851
-0.94966,72,597.573209
-1.070458,72,613.593301
-0.828353,72,630.399002
-1.236576,72,644.891708
-0.882774,72,659.160821
-0.961352,72,672.899227
-0.811877,72,688.1673
-0.95197,72,700.445807
-0.858266,72,715.223891
-0.970437,72,730.356328
-1.178785,72,745.791881
-1.391879,72,762.113034
-1.070207,72,776.458949
-0.901062,72,794.292349
-1.246463,72,808.506069
-1.278304,72,822.178855
-0.864767,72,835.354294
-1.052766,72,851.85354
-0.839588,72,866.973055
-0.884731,72,882.016796
-0.83517,72,895.25725
-1.315865,72,911.329046
-1.060859,72,926.31032
-0.946273,72,941.502389
-0.934829,72,954.50295
-0.845419,72,967.397085
-0.780367,72,981.636283
-1.358208,72,995.822308
-1.26693,72,1009.338457
-0.892125,72,1026.097605
-0.982124,72,1038.975836
-1.115679,72,1052.737828
-0.872181,72,1067.588062
-1.011107,72,1081.826651
-1.024979,72,1096.819474
-1.278635,72,1114.630747
-1.334453,72,1129.08149
-1.353476,72,1143.273461
-0.816147,72,1158.40755
-0.901668,72,1172.390201
-0.855623,72,1186.347229
-1.265682,72,1200.226798
-0.85665,72,1217.312014
-0.699639,72,1232.980692
-1.062926,72,1257.031212
-0.934219,72,1301.202637
-0.925525,72,1350.334832
-0.902453,72,1398.834158
-0.838397,72,1456.122825
-1.347758,72,1509.062466
-1.772867,72,1560.097929
-0.893974,72,1612.338972
-0.777779,72,1660.890002
-0.803734,72,1712.011169
-0.954896,72,1759.082229
-0.95369,72,1812.645008
-1.247118,72,1862.073417
-1.044815,72,1911.453638
-0.845488,72,1965.734406
-1.315284,72,2014.915289
-1.386223,72,2066.89373
-0.878752,72,2123.821471
-0.865623,72,2168.297658
-0.851706,72,2213.095531
-0.860009,72,2267.390271
-0.879332,72,2321.094995
-1.418076,72,2371.912492
-0.854824,72,2423.389131
-0.986742,72,2477.990277
-1.010988,72,2530.178252
-1.16607,72,2589.417554
-1.308326,72,2636.680949
-1.085216,72,2690.457834
-0.969883,72,2740.818115
-1.025051,72,2792.887583
-0.914681,72,2835.867956
-1.24892,72,2878.100989
-0.889442,72,2924.251353
-1.010181,72,2968.30513
-1.255679,72,3017.346307
-1.266942,72,3066.414135
-0.73689,72,3118.513503
-0.782839,72,3160.344052
-1.074732,72,3212.296778
-0.901667,72,3264.9852
-0.806678,72,3321.266099
-1.033871,72,3365.939763
-1.085063,72,3417.631975
-1.492949,72,3473.406447
