rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/n_updates,train/clip_range,train/learning_rate
72.0,1,385,2048,5,-0.8549462857142858,,,,,,,,,,
72.0,2,774,4096,5,-0.8615193750000001,0.003186148485656304,-0.056672960254945795,0.03413095,-1.1920928955078125e-07,-6.268813741207123,0.476220703125,-0.08456284552812576,640,0.2,0.0003
72.0,3,1174,6144,5,-0.8672259294117647,0.0035826045113935834,-0.053854579530889166,0.03227843,0.0,-6.18021192997694,0.460791015625,-0.12276998162269592,650,0.2,0.0003
72.0,4,1548,8192,5,-0.8645654099999999,0.0043742126425058816,-0.05154354190453887,0.031473536,1.1920928955078125e-07,-6.172576221823692,0.46337890625,-0.07804761081933975,660,0.2,0.0003
72.0,5,1925,10240,5,-0.8674439199999999,0.004410304961675137,-0.04907669698004611,0.03045558,0.0,-6.198985210061073,0.45947265625,-0.11532506346702576,670,0.2,0.0003
72.0,6,2304,12288,5,-0.8604459800000002,0.004159761880146107,-0.04926693990710192,0.030888833,0.0,-6.187143465876579,0.439208984375,-0.10981477797031403,680,0.2,0.0003
72.0,7,2679,14336,5,-0.8689103699999999,0.0038817742683022517,-0.04938304937677458,0.03215074,0.0,-6.198456434905529,0.446142578125,-0.13738766312599182,690,0.2,0.0003
72.0,8,3069,16384,5,-0.8706682400000001,0.003794390651273716,-0.04799540012318175,0.029956449,0.0,-6.171823440492153,0.451953125,-0.11378467082977295,700,0.2,0.0003
72.0,9,3453,18432,5,-0.8622826900000001,0.0035650646441354183,-0.04886093461245764,0.03022857,0.0,-6.176903495192528,0.46513671875,-0.07547197490930557,710,0.2,0.0003
72.0,10,3843,20480,5,-0.8723949299999998,0.003899623333563795,-0.050606516288826245,0.029980808,0.0,-6.136549912393093,0.448388671875,-0.12811654806137085,720,0.2,0.0003
