#{"t_start": 1724076996.2696722, "env_id": "None"}
r,l,t
-1.348055,72,25.003039
-3.562695,72,35.534044
-3.333104,72,43.435346
-5.092983,72,51.498368
-3.485464,72,59.706525
-2.628331,72,68.923743
-2.018479,72,77.5283
-4.322682,72,85.72605
-3.875397,72,94.238267
-4.21938,72,102.76345
-1.638798,72,111.598803
-2.034946,72,120.069529
-1.038147,72,127.913315
-0.548453,72,135.710638
-1.804416,72,143.854259
-0.085332,72,151.798204
-2.67714,72,160.450311
-4.43738,72,168.536774
-2.860891,72,176.432106
-3.824535,72,184.895663
-2.449794,72,193.655952
-2.276491,72,202.473038
-0.644252,72,210.651873
-3.807919,72,218.393001
-3.764016,72,226.522814
-2.648211,72,235.759501
-0.46235,72,243.58122
-0.352884,72,251.593866
-2.036051,72,260.266808
-2.011396,72,268.07345
-3.610088,72,276.869222
-0.636412,72,284.729399
-2.014385,72,293.751782
-0.880218,72,302.117567
-3.637325,72,311.686534
-1.926877,72,320.499719
-0.470982,72,328.501611
-0.694734,72,336.306223
-2.857709,72,344.320609
-1.506798,72,352.863762
-4.235309,72,361.876339
-3.339385,72,369.664131
-4.381006,72,377.80939
-2.751981,72,385.978625
-2.526921,72,394.890479
-3.666228,72,402.849492
-2.072281,72,411.975773
-3.096264,72,420.566183
-3.391367,72,429.093045
-3.136091,72,438.660105
-2.870648,72,447.49294
-4.110487,72,455.549912
-4.673799,72,463.507673
-3.478154,72,471.346024
-3.843281,72,479.243116
-3.330587,72,486.881835
-0.520889,72,495.322172
-5.891313,72,503.411856
-2.110088,72,511.817878
-4.48438,72,519.688257
-4.301449,72,528.322778
-2.855096,72,536.314767
-3.851383,72,545.324985
-1.34495,72,553.108799
-3.509244,72,561.894825
-2.95948,72,569.82215
-3.842515,72,577.697422
-0.45693,72,585.768094
-4.869043,72,593.820881
-4.000374,72,602.328952
-3.584357,72,610.442701
-2.880717,72,618.870214
-4.407927,72,627.214254
-3.525261,72,635.20863
-3.930524,72,643.470131
-2.326519,72,652.442086
-3.678532,72,661.081241
-2.053196,72,669.127887
-1.072843,72,677.65727
-1.154799,72,686.481261
-4.113582,72,695.312249
-3.989423,72,706.438924
-3.278436,72,715.080939
-3.814889,72,724.014654
-3.456126,72,733.444528
-4.734897,72,742.603342
-0.9725,72,751.41314
-0.572996,72,759.611518
-1.456984,72,768.107434
-2.975219,72,777.36331
-4.478642,72,785.664321
-2.441866,72,794.721647
-2.0652,72,803.979995
-4.649485,72,812.096023
-2.044623,72,821.331212
-2.857155,72,829.812723
-1.129115,72,838.966961
-3.573727,72,847.859021
-2.778776,72,856.703341
-4.923261,72,864.979373
-2.890519,72,873.614644
-2.301527,72,883.191406
-3.819201,72,892.387789
-0.516116,72,901.254887
-3.533606,72,909.35495
-3.729365,72,918.460827
-0.560526,72,926.715479
-2.009663,72,935.989559
-0.828829,72,944.665389
-2.74311,72,953.664256
-1.499889,72,962.306494
-1.399441,72,972.481487
-2.528412,72,982.786313
-2.667845,72,993.619138
-3.028641,72,1003.74996
-1.076486,72,1013.208996
-2.922735,72,1023.182788
-2.522496,72,1033.632622
-3.636387,72,1042.572636
-2.509571,72,1052.323907
-4.287471,72,1061.254279
-1.347278,72,1070.738398
-3.50975,72,1079.565928
-1.13121,72,1089.073885
-4.14877,72,1098.395962
-2.97188,72,1108.742678
-4.688915,72,1117.39324
-3.868109,72,1127.391512
-3.990873,72,1136.169587
-4.613879,72,1145.41371
-1.076858,72,1154.954927
-4.939505,72,1165.082082
-3.053033,72,1173.952849
-2.4771,72,1184.191126
-2.269724,72,1193.854484
-0.569548,72,1202.828403
-3.783823,72,1212.796869
-4.035104,72,1222.036989
-3.359155,72,1232.087461
-4.21621,72,1241.592808
-2.946948,72,1251.095429
-3.935433,72,1260.627989
-2.407292,72,1270.040915
-3.85675,72,1279.304175
-3.967108,72,1289.325631
-1.958716,72,1299.420305
-3.878161,72,1309.207023
-3.68214,72,1319.568046
-4.462303,72,1330.25272
-3.596889,72,1340.06792
-1.238647,72,1349.977036
-2.810046,72,1359.226372
-3.981517,72,1369.590727
-3.742698,72,1379.196088
-4.001116,72,1388.768712
-4.005672,72,1398.596141
-2.869077,72,1408.027927
-2.022203,72,1418.105662
-0.718073,72,1427.243423
-2.019288,72,1436.809716
-2.14371,72,1446.850229
-3.328737,72,1456.971718
-3.38277,72,1467.388129
-5.092928,72,1476.721609
-0.753041,72,1486.109692
-0.894356,72,1495.091618
-1.587893,72,1504.390801
-0.107186,72,1513.742423
-4.286122,72,1522.871702
-4.92588,72,1532.01437
-1.054112,72,1541.428349
-1.883653,72,1551.417227
-4.550884,72,1561.465735
-3.485712,72,1570.553134
-1.803255,72,1580.361336
-3.12774,72,1590.177289
-2.767753,72,1600.426094
-2.245342,72,1610.587895
-4.519627,72,1620.319812
-3.040444,72,1629.190033
-0.45253,72,1638.757124
-1.470915,72,1648.42682
-1.714308,72,1657.792216
-3.658361,72,1668.233314
-3.094492,72,1678.728591
-1.394209,72,1687.955616
-3.818936,72,1697.946579
-3.629984,72,1708.46781
-3.192588,72,1718.149372
-3.881004,72,1727.833694
-1.681871,72,1737.171669
-2.305585,72,1747.82577
-1.407106,72,1756.955238
-4.009012,72,1766.654413
-1.133984,72,1776.873583
-4.297669,72,1787.057682
-0.718629,72,1796.861096
-3.842955,72,1806.907497
