train/n_updates,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/ent_coef,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate
187,37,4,288,-3.3342092500000002,62525.3671875,557.6109619140625,1.0573893785476685,7,72.0,-1.5737682580947876,0.0003
475,71,8,576,-3.223974125,52907.01171875,639.6180419921875,1.1528246402740479,8,72.0,-4.00091552734375,0.0003
763,105,12,864,-3.1300261666666667,55771.1328125,657.4862670898438,1.25688898563385,8,72.0,-6.457807540893555,0.0003
1051,137,16,1152,-2.5647913750000004,56792.15234375,692.4791259765625,1.370300531387329,8,72.0,-8.9059476852417,0.0003
1339,170,20,1440,-2.7418304000000004,49856.9453125,904.8567504882812,1.4939498901367188,8,72.0,-11.289006233215332,0.0003
1627,203,24,1728,-2.667294333333333,59151.2109375,919.9044799804688,1.6287884712219238,8,72.0,-13.71998405456543,0.0003
1915,237,28,2016,-2.544375892857143,51556.8359375,1626.092041015625,1.7757887840270996,8,72.0,-16.126197814941406,0.0003
2203,270,32,2304,-2.48551475,52969.73046875,9915778.0,1.9360358715057373,8,72.0,-18.619653701782227,0.0003
2491,306,36,2592,-2.4443132500000004,53540.1875,59207.6875,2.1107022762298584,8,72.0,-21.080772399902344,0.0003
2779,338,40,2880,-2.3381374999999998,54215.875,2472557.5,2.30119252204895,8,72.0,-23.456344604492188,0.0003
3067,371,44,3168,-2.4598450227272726,48817.9140625,32987160.0,2.508824586868286,8,72.0,-25.84363555908203,0.0003
3355,406,48,3456,-2.4915598958333334,53071.5625,41730888.0,2.735234260559082,8,72.0,-28.386539459228516,0.0003
3643,441,52,3744,-2.559682076923077,55627.6875,179359296.0,2.9820244312286377,8,72.0,-30.96195411682129,0.0003
3931,472,56,4032,-2.6505230178571426,51573.81640625,5793.236328125,3.2511425018310547,8,72.0,-33.17927551269531,0.0003
4219,505,60,4320,-2.690599316666666,112571.8359375,623624256.0,3.544597864151001,8,72.0,-35.725685119628906,0.0003
4507,538,64,4608,-2.715450578125,45757.3515625,6687.41552734375,3.8644838333129883,8,72.0,-38.12681579589844,0.0003
4795,571,68,4896,-2.714073617647059,48388.703125,87449.0234375,4.213195323944092,8,72.0,-40.48685836791992,0.0003
5083,604,72,5184,-2.7762707916666667,45011.90625,304561088.0,4.593369960784912,8,72.0,-42.85076904296875,0.0003
5371,638,76,5472,-2.8168648421052627,46147.7109375,219321.796875,5.007889747619629,8,72.0,-45.41282653808594,0.0003
5659,672,80,5760,-2.7755137249999997,55085.4765625,184244432.0,5.459831237792969,8,72.0,-47.99509048461914,0.0003
5947,709,84,6048,-2.8242550952380947,51127.1484375,2633005.5,5.952618598937988,8,72.0,-50.20909881591797,0.0003
6235,745,88,6336,-2.8065221250000003,40630.4140625,37544.03125,6.489718914031982,8,72.0,-52.67896270751953,0.0003
6523,780,92,6624,-2.8078984565217393,50971.03515625,9216211.0,7.07537841796875,8,72.0,-54.77838134765625,0.0003
6811,815,96,6912,-2.811907510416667,42396.37890625,425651.4375,7.713799953460693,8,72.0,-57.55690383911133,0.0003
7099,850,100,7200,-2.823480000000001,44627.87890625,268544.46875,8.409963607788086,8,72.0,-59.97536087036133,0.0003
7387,886,104,7488,-2.7853852600000004,47421.3671875,2734148.75,9.1688814163208,8,72.0,-62.356422424316406,0.0003
7675,921,108,7776,-2.7591672999999997,42036.7734375,525083008.0,9.99614143371582,8,72.0,-64.85243225097656,0.0003
7963,958,112,8064,-2.70619478,46881.08203125,26219570.0,10.898348808288574,8,72.0,-67.46205139160156,0.0003
8251,998,116,8352,-2.76444514,42848.8515625,76787.2734375,11.881940841674805,8,72.0,-69.6878662109375,0.0003
8539,1037,120,8640,-2.74235757,44163.15234375,7058942.0,12.954365730285645,8,72.0,-72.2175521850586,0.0003
8827,1074,124,8928,-2.7533301,58221.53125,80381040.0,14.123610496520996,8,72.0,-75.20857238769531,0.0003
9115,1112,128,9216,-2.83783223,44522.59375,65985.0625,15.398276329040527,8,72.0,-77.1527328491211,0.0003
9403,1150,132,9504,-2.9011039100000007,45231.9296875,79220.25,16.78766441345215,8,72.0,-79.29156494140625,0.0003
9691,1188,136,9792,-2.9002099100000005,41227.1796875,301161.15625,18.302684783935547,8,72.0,-82.00274658203125,0.0003
9979,1227,140,10080,-2.9988505999999995,45259.14453125,676768.5625,19.954343795776367,8,72.0,-84.19441223144531,0.0003
10267,1264,144,10368,-2.9832380199999995,42951.41015625,147866.90625,21.755271911621094,8,72.0,-87.17174530029297,0.0003
10555,1305,148,10656,-3.00448233,41666.34765625,198507.46875,23.71807861328125,8,72.0,-89.42559814453125,0.0003
10843,1344,152,10944,-2.9904752500000007,43245.3359375,342974.03125,25.85812759399414,8,72.0,-91.34727478027344,0.0003
11131,1384,156,11232,-2.994527070000001,45056.203125,3145037.75,28.191566467285156,8,72.0,-94.0384292602539,0.0003
11419,1422,160,11520,-2.9407467800000004,45812.5703125,8445500.0,30.736330032348633,8,72.0,-96.16877746582031,0.0003
11707,1462,164,11808,-2.95669945,50402.328125,988064.75,33.50876235961914,8,72.0,-98.89372253417969,0.0003
11995,1499,168,12096,-2.88244252,44016.31640625,13365058.0,36.53249740600586,8,72.0,-100.98001098632812,0.0003
12283,1537,172,12384,-2.8505952799999994,45541.5234375,400432.9375,39.82954406738281,8,72.0,-104.10484313964844,0.0003
12571,1575,176,12672,-2.838368879999999,47775.359375,18167972.0,43.4234733581543,8,72.0,-106.65071868896484,0.0003
12859,1614,180,12960,-2.8845068400000002,45105.01171875,732827.5625,47.34225845336914,8,72.0,-108.68265533447266,0.0003
13147,1653,184,13248,-2.8055046800000008,49135.1875,13252656.0,51.614498138427734,8,72.0,-111.07658386230469,0.0003
13435,1694,188,13536,-2.8275156999999997,49485.05859375,4146350.0,56.27248764038086,7,72.0,-113.86528778076172,0.0003
13723,1733,192,13824,-2.8245990700000005,50928.734375,88893744.0,61.35032653808594,7,72.0,-115.66465759277344,0.0003
14011,1772,196,14112,-2.8169121499999994,52760.9453125,4302870.5,66.8859634399414,7,72.0,-118.65618896484375,0.0003
