train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes
0.0003,0.00037477631121873856,0.39861398935317993,56884,288,-0.7089215,80,3,72.0,4
0.0003,0.00042900137486867607,0.40295499563217163,57172,576,-0.72752925,154,3,72.0,8
0.0003,0.00020102466805838048,0.3903641402721405,57460,864,-0.7792644999999999,225,3,72.0,12
0.0003,0.00013319108984433115,0.3962734639644623,57748,1152,-0.7599045,294,3,72.0,16
0.0003,0.00018330298189539462,0.38974833488464355,58036,1440,-0.7461063,376,3,72.0,20
0.0003,0.00018438370898365974,0.38915953040122986,58324,1728,-0.7217992916666667,447,3,72.0,24
0.0003,0.00018076163541991264,0.3941231071949005,58612,2016,-0.7044527500000001,526,3,72.0,28
0.0003,0.0007428878452628851,0.4143374562263489,58900,2304,-0.709203875,616,3,72.0,32
0.0003,0.0002168598584830761,0.39121323823928833,59188,2592,-0.6904695277777778,705,3,72.0,36
0.0003,0.000637490360531956,0.40839433670043945,59476,2880,-0.689820775,792,3,72.0,40
0.0003,0.00047236931277439,0.4121484160423279,59764,3168,-0.6892956590909091,871,3,72.0,44
0.0003,0.00037822447484359145,0.39978548884391785,60052,3456,-0.6808950416666667,952,3,72.0,48
0.0003,0.00024647009558975697,0.39832863211631775,60340,3744,-0.6767285384615385,1036,3,72.0,52
0.0003,0.00045918032992631197,0.4085068106651306,60628,4032,-0.6683827142857143,1109,3,72.0,56
0.0003,0.0002449949970468879,0.40935173630714417,60916,4320,-0.6666639166666665,1201,3,72.0,60
0.0003,0.00021523854229599237,0.3994982838630676,61204,4608,-0.662984453125,1294,3,72.0,64
0.0003,0.00045954238157719374,0.4031422734260559,61492,4896,-0.6602982647058824,1383,3,72.0,68
0.0003,0.00037077523302286863,0.41322100162506104,61780,5184,-0.6595659027777779,1472,3,72.0,72
0.0003,0.0002904105931520462,0.41833657026290894,62068,5472,-0.6591851842105264,1565,3,72.0,76
0.0003,0.0003313029883429408,0.4203815460205078,62356,5760,-0.658513925,1653,3,72.0,80
0.0003,0.00024250226852018386,0.4098776578903198,62644,6048,-0.654477130952381,1741,3,72.0,84
0.0003,0.00037609977880492806,0.4119429886341095,62932,6336,-0.6546158636363637,1840,3,72.0,88
0.0003,0.0003116833104286343,0.4127652645111084,63220,6624,-0.6519364565217391,1927,3,72.0,92
0.0003,0.0002576906408648938,0.42162036895751953,63508,6912,-0.64928278125,2014,3,72.0,96
0.0003,0.00047137789078988135,0.4162403643131256,63796,7200,-0.6476428300000001,2096,3,72.0,100
0.0003,0.00031963770743459463,0.41479331254959106,64084,7488,-0.6478707599999999,2190,3,72.0,104
0.0003,0.00039009639294818044,0.41596847772598267,64372,7776,-0.64491017,2282,3,72.0,108
0.0003,0.0001883310469565913,0.41714543104171753,64660,8064,-0.6340940399999999,2373,3,72.0,112
0.0003,0.0003367357421666384,0.41499626636505127,64948,8352,-0.63045879,2466,3,72.0,116
0.0003,0.0002878805680666119,0.4192970395088196,65236,8640,-0.62967143,2558,3,72.0,120
0.0003,0.00032979922252707183,0.42899107933044434,65524,8928,-0.63555675,2648,3,72.0,124
0.0003,0.0005468269810080528,0.41979318857192993,65812,9216,-0.63808943,2751,3,72.0,128
0.0003,0.0003484785556793213,0.42017027735710144,66100,9504,-0.6358123800000001,2833,3,72.0,132
0.0003,0.00046484527410939336,0.42356419563293457,66388,9792,-0.63717643,2913,3,72.0,136
0.0003,0.0002899268292821944,0.41574615240097046,66676,10080,-0.63619148,2990,3,72.0,140
0.0003,0.00041545412386767566,0.4310224652290344,66964,10368,-0.63477182,3080,3,72.0,144
0.0003,0.00025659380480647087,0.42894446849823,67252,10656,-0.6356479,3172,3,72.0,148
0.0003,0.00027782778488472104,0.4189976751804352,67540,10944,-0.63583616,3257,3,72.0,152
0.0003,0.0005599451251327991,0.4301929473876953,67828,11232,-0.6361922500000001,3351,3,72.0,156
