#{"t_start": 1724226103.8931258, "env_id": "None"}
r,l,t
-1.191052,72,40.005373
-1.975257,72,57.752512
-0.655258,72,71.359875
-0.754247,72,90.713435
-2.329365,72,109.3823
-0.956018,72,129.898515
-0.349528,72,140.397863
-0.25156,72,153.021923
-0.818456,72,170.641296
-0.461612,72,186.084405
-0.412449,72,197.003584
-0.393811,72,210.083087
-0.049838,72,228.158169
-0.110406,72,245.164748
-0.147555,72,259.681728
-2.062535,72,278.527247
-0.127928,72,293.862616
-0.663533,72,312.675277
-1.005508,72,330.39134
-0.194629,72,345.105515
-0.155716,72,359.53758
-1.507269,72,374.831736
-0.787381,72,394.051334
-1.605096,72,413.91118
-0.870684,72,426.671768
-1.679543,72,447.724117
-0.525748,72,462.137174
-0.478789,72,474.903027
-0.180622,72,490.401452
-0.16492,72,504.742851
-0.586198,72,520.852949
-1.445278,72,540.533463
-0.353404,72,554.49287
-0.651736,72,567.56317
-1.361906,72,580.776032
-1.500332,72,600.917639
-0.56705,72,614.632264
-0.715718,72,628.540219
-0.458229,72,643.986776
-0.88581,72,662.795109
-1.145532,72,682.003976
-0.111791,72,696.49501
-1.182789,72,709.799064
-0.062615,72,725.50244
-1.007362,72,743.630078
-1.229436,72,754.706073
-0.165949,72,772.496659
-0.585411,72,786.343233
-0.174394,72,801.597505
-0.871242,72,821.009131
-0.416895,72,836.036535
-0.847216,72,852.283977
-0.602905,72,865.162031
-2.0516,72,883.896453
-0.356368,72,898.887005
-0.536167,72,912.773046
-1.513162,72,930.399403
-0.272475,72,945.033388
-0.583364,72,962.67907
-0.071652,72,979.972473
-0.918495,72,1000.328735
-0.658162,72,1016.704081
-0.699819,72,1036.03062
-0.572084,72,1054.925727
-0.243933,72,1075.394667
-0.68807,72,1088.144326
-0.594266,72,1099.35065
-0.263787,72,1114.269406
-0.993582,72,1128.592098
-0.851357,72,1149.7056
-1.100403,72,1170.596277
-1.071159,72,1191.955489
-1.007382,72,1212.86315
-1.35939,72,1231.320886
-1.355762,72,1252.220768
-0.27698,72,1271.366784
-1.242914,72,1291.978519
-0.543328,72,1303.436012
-0.429262,72,1321.283794
-0.629877,72,1337.25386
-1.365612,72,1355.444278
-0.566236,72,1368.299272
-1.051028,72,1384.095872
-1.08408,72,1395.536344
-0.172506,72,1409.826877
-0.054643,72,1428.836212
-0.373322,72,1446.285614
-0.528347,72,1466.655858
-0.476869,72,1480.512348
-0.467463,72,1498.030413
-0.978174,72,1515.726737
-0.468705,72,1536.449797
-0.046679,72,1553.229794
-0.598919,72,1572.065486
-1.640365,72,1593.636994
-0.979851,72,1610.822228
-0.516996,72,1621.79533
-0.11005,72,1641.147637
-0.837354,72,1661.216667
-0.566107,72,1679.529283
-0.367383,72,1695.006632
-0.476647,72,1714.8159
-0.533943,72,1732.318879
-0.673558,72,1752.020717
-0.714224,72,1772.161953
-0.292726,72,1789.461005
-1.355317,72,1803.463403
-0.514518,72,1824.189866
-0.388483,72,1841.600211
-0.157457,72,1856.889089
-0.479058,72,1875.341559
-1.358433,72,1889.73722
-0.498047,72,1910.553461
-0.015878,72,1928.880077
-0.478965,72,1944.465255
-0.468502,72,1964.4223
-1.622385,72,1985.646944
-1.085423,72,2005.138357
-0.187463,72,2020.46013
-1.110947,72,2039.977842
-0.167418,72,2058.217048
-1.633104,72,2077.502876
-1.120479,72,2091.885932
-1.0018,72,2103.415788
-0.0979,72,2120.357853
-0.430509,72,2141.610864
-0.351401,72,2162.763835
-1.380583,72,2184.267852
-0.83719,72,2198.370316
