/home/aniket/miniconda3/envs/boptestlocal/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Logging to results/SAC_AD1/Model1
Using cpu device
Wrapping the env in a DummyVecEnv.
Starting training from scratch.
u {'ahu_oveFanSup_u': 0.5039120316505432, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.7977163195610046, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.5521053075790405, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.2254541516304016, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.7581604719161987, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.6613771319389343, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.16762596368789673, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.48899784684181213, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.4803485572338104, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.7721889019012451, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.9046863317489624, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.5093958973884583, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.6849406361579895, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.6930153369903564, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.6086028218269348, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.5074478387832642, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.3515733778476715, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.002123802900314331, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.001434236764907837, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.9176961779594421, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.44909191131591797, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.25753864645957947, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.07600477337837219, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.22024717926979065, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.8862926959991455, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.8735636472702026, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.8119685053825378, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.24961715936660767, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.7089226841926575, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.6737271547317505, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.13588914275169373, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.9941522479057312, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.23586660623550415, 'oveValRad_activate': 1.0}
