74c4jh4w
Logging to results/SAC_AD1/Model1
Using cpu device
Wrapping the env in a DummyVecEnv.
Starting training from scratch.
u {'ahu_oveFanSup_u': 0.79404217004776, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.07282310724258423, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.5662515163421631, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.7314668297767639, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.6664069294929504, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.44726285338401794, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.6233079433441162, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.198988139629364, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.3467232286930084, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.6780761480331421, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.2540593445301056, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.4587128758430481, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.7658069133758545, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.8216014504432678, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.39795157313346863, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.11430707573890686, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.6393095850944519, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.6153677701950073, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.7487466931343079, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.5834813117980957, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.7978853583335876, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.4258800446987152, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.4840470552444458, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.10946956276893616, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.1614096760749817, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.9658339619636536, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.1109527051448822, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.31977325677871704, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.746008038520813, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.714818000793457, 'oveValRad_activate': 1.0}
/home/aniket/miniconda3/envs/boptestlocal/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
